"cell_name","wall_position","mix","H2228_prop","H1975_prop","HCC827_prop","mRNA_amount","group"
"CelSeq2_Mixture_Sample_A1","A1",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A2","A2",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A3","A3",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A4","A4",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A5","A5",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A6","A6",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A7","A7",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A8","A8",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A9","A9",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A10","A10",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A11","A11",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A12","A12",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A13","A13",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A14","A14",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A15","A15",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A16","A16",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A17","A17",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A18","A18",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A19","A19",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A20","A20",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A21","A21",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A22","A22",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A23","A23",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A24","A24",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B1","B1",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B2","B2",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
