"cell_name","well_position","H1975","H2228","HCC827","poor_quality","traj","group"
"POP_O24","O24",0,0,90,"NO","NO","0_0_90"
"POP_O23","O23",0,90,0,"NO","NO","90_0_0"
"POP_O22","O22",90,0,0,"NO","NO","0_90_0"
"POP_O21","O21",70,10,10,"NO","NO","10_70_10"
"POP_O20","O20",70,10,10,"NO","NO","10_70_10"
"POP_O19","O19",70,10,10,"NO","NO","10_70_10"
"POP_O18","O18",50,20,20,"NO","NO","20_50_20"
"POP_O17","O17",50,20,20,"NO","NO","20_50_20"
"POP_O16","O16",50,20,20,"NO","NO","20_50_20"
"POP_O15","O15",30,30,30,"NO","NO","30_30_30"
"POP_O14","O14",30,30,30,"NO","NO","30_30_30"
"POP_O13","O13",30,30,30,"NO","NO","30_30_30"
"POP_O12","O12",20,50,20,"NO","NO","50_20_20"
"POP_O11","O11",20,50,20,"NO","NO","50_20_20"
"POP_O10","O10",20,50,20,"NO","NO","50_20_20"
"POP_O9","O9",20,20,50,"NO","NO","20_20_50"
"POP_O8","O8",20,20,50,"NO","NO","20_20_50"
"POP_O7","O7",20,20,50,"NO","NO","20_20_50"
"POP_O6","O6",10,70,10,"NO","NO","70_10_10"
"POP_O5","O5",10,70,10,"NO","NO","70_10_10"
"POP_O4","O4",10,70,10,"NO","NO","70_10_10"
"POP_O3","O3",10,10,70,"NO","NO","10_10_70"
"POP_O2","O2",10,10,70,"NO","NO","10_10_70"
"POP_O1","O1",10,10,70,"NO","NO","10_10_70"
