"cell_name","p_column","p_row","mix","H2228_prop","H1975_prop","HCC827_prop","mRNA_amount"
"A1","A",1,1,0.33,0.33,0.33,3.75
"A2","A",2,1,0.33,0.33,0.33,3.75
"A3","A",3,1,0.33,0.33,0.33,3.75
"A4","A",4,1,0.33,0.33,0.33,7.5
"A5","A",5,1,0.33,0.33,0.33,7.5
"A6","A",6,1,0.33,0.33,0.33,7.5
"A7","A",7,1,0.33,0.33,0.33,7.5
"A8","A",8,1,0.33,0.33,0.33,7.5
"A9","A",9,1,0.33,0.33,0.33,7.5
"A10","A",10,1,0.33,0.33,0.33,7.5
"A11","A",11,1,0.33,0.33,0.33,15
"A12","A",12,1,0.33,0.33,0.33,15
"A13","A",13,1,0.33,0.33,0.33,15
"A14","A",14,1,0.33,0.33,0.33,15
"A15","A",15,1,0.33,0.33,0.33,15
"A16","A",16,1,0.33,0.33,0.33,15
"A17","A",17,1,0.33,0.33,0.33,15
"A18","A",18,1,0.33,0.33,0.33,30
"A19","A",19,1,0.33,0.33,0.33,30
"A20","A",20,1,0.33,0.33,0.33,30
"A21","A",21,1,0.33,0.33,0.33,30
"A22","A",22,1,0.33,0.33,0.33,30
"A23","A",23,1,0.33,0.33,0.33,30
"A24","A",24,1,0.33,0.33,0.33,30
"B1","B",1,1,0.33,0.33,0.33,3.75
"B2","B",2,1,0.33,0.33,0.33,3.75
"B3","B",3,1,0.33,0.33,0.33,3.75
"B4","B",4,1,0.33,0.33,0.33,7.5
"B5","B",5,1,0.33,0.33,0.33,7.5
"B6","B",6,1,0.33,0.33,0.33,7.5
"B7","B",7,1,0.33,0.33,0.33,7.5
"B8","B",8,1,0.33,0.33,0.33,7.5
"B9","B",9,1,0.33,0.33,0.33,7.5
"B10","B",10,1,0.33,0.33,0.33,7.5
"B11","B",11,1,0.33,0.33,0.33,15
"B12","B",12,1,0.33,0.33,0.33,15
"B13","B",13,1,0.33,0.33,0.33,15
"B14","B",14,1,0.33,0.33,0.33,15
"B15","B",15,1,0.33,0.33,0.33,15
"B16","B",16,1,0.33,0.33,0.33,15
"B17","B",17,1,0.33,0.33,0.33,15
"B18","B",18,1,0.33,0.33,0.33,30
"B19","B",19,1,0.33,0.33,0.33,30
"B20","B",20,1,0.33,0.33,0.33,30
"B21","B",21,1,0.33,0.33,0.33,30
"B22","B",22,1,0.33,0.33,0.33,30
"B23","B",23,1,0.33,0.33,0.33,30
"B24","B",24,1,0.33,0.33,0.33,30
"C1","C",1,2,0.33,0.33,0.33,3.75
"C2","C",2,2,0.33,0.33,0.33,3.75
"C3","C",3,2,0.33,0.33,0.33,3.75
"C4","C",4,2,0.33,0.33,0.33,7.5
"C5","C",5,2,0.33,0.33,0.33,7.5
"C6","C",6,2,0.33,0.33,0.33,7.5
"C7","C",7,2,0.33,0.33,0.33,7.5
"C8","C",8,2,0.33,0.33,0.33,7.5
"C9","C",9,2,0.33,0.33,0.33,7.5
"C10","C",10,2,0.33,0.33,0.33,7.5
"C11","C",11,2,0.33,0.33,0.33,15
"C12","C",12,2,0.33,0.33,0.33,15
"C13","C",13,2,0.33,0.33,0.33,15
"C14","C",14,2,0.33,0.33,0.33,15
"C15","C",15,2,0.33,0.33,0.33,15
"C16","C",16,2,0.33,0.33,0.33,15
"C17","C",17,2,0.33,0.33,0.33,15
"C18","C",18,2,0.33,0.33,0.33,30
"C19","C",19,2,0.33,0.33,0.33,30
"C20","C",20,2,0.33,0.33,0.33,30
"C21","C",21,2,0.33,0.33,0.33,30
"C22","C",22,2,0.33,0.33,0.33,30
"C23","C",23,2,0.33,0.33,0.33,30
"C24","C",24,2,0.33,0.33,0.33,30
"D1","D",1,2,0.33,0.33,0.33,3.75
"D2","D",2,2,0.33,0.33,0.33,3.75
"D3","D",3,2,0.33,0.33,0.33,3.75
"D4","D",4,2,0.33,0.33,0.33,7.5
"D5","D",5,2,0.33,0.33,0.33,7.5
"D6","D",6,2,0.33,0.33,0.33,7.5
"D7","D",7,2,0.33,0.33,0.33,7.5
"D8","D",8,2,0.33,0.33,0.33,7.5
"D9","D",9,2,0.33,0.33,0.33,7.5
"D10","D",10,2,0.33,0.33,0.33,7.5
"D11","D",11,2,0.33,0.33,0.33,15
"D12","D",12,2,0.33,0.33,0.33,15
"D13","D",13,2,0.33,0.33,0.33,15
"D14","D",14,2,0.33,0.33,0.33,15
"D15","D",15,2,0.33,0.33,0.33,15
"D16","D",16,2,0.33,0.33,0.33,15
"D17","D",17,2,0.33,0.33,0.33,15
"D18","D",18,2,0.33,0.33,0.33,30
"D19","D",19,2,0.33,0.33,0.33,30
"D20","D",20,2,0.33,0.33,0.33,30
"D21","D",21,2,0.33,0.33,0.33,30
"D22","D",22,2,0.33,0.33,0.33,30
"D23","D",23,2,0.33,0.33,0.33,30
"D24","D",24,2,0.33,0.33,0.33,30
"E1","E",1,3,1,0,0,3.75
"E2","E",2,3,1,0,0,3.75
"E3","E",3,3,1,0,0,3.75
"E4","E",4,3,1,0,0,7.5
"E5","E",5,3,1,0,0,7.5
"E6","E",6,3,1,0,0,7.5
"E7","E",7,3,1,0,0,7.5
"E8","E",8,3,1,0,0,7.5
"E9","E",9,3,1,0,0,7.5
"E10","E",10,3,1,0,0,7.5
"E11","E",11,3,1,0,0,15
"E12","E",12,3,1,0,0,15
"E13","E",13,3,1,0,0,15
"E14","E",14,3,1,0,0,15
"E15","E",15,3,1,0,0,15
"E16","E",16,3,1,0,0,15
"E17","E",17,3,1,0,0,15
"E18","E",18,3,1,0,0,30
"E19","E",19,3,1,0,0,30
"E20","E",20,3,1,0,0,30
"E21","E",21,3,1,0,0,30
"E22","E",22,3,1,0,0,30
"E23","E",23,3,1,0,0,30
"E24","E",24,3,1,0,0,30
"F1","F",1,3,1,0,0,3.75
"F2","F",2,3,1,0,0,3.75
"F3","F",3,3,1,0,0,3.75
"F4","F",4,3,1,0,0,7.5
"F5","F",5,3,1,0,0,7.5
"F6","F",6,3,1,0,0,7.5
"F7","F",7,3,1,0,0,7.5
"F8","F",8,3,1,0,0,7.5
"F9","F",9,3,1,0,0,7.5
"F10","F",10,3,1,0,0,7.5
"F11","F",11,3,1,0,0,15
"F12","F",12,3,1,0,0,15
"F13","F",13,3,1,0,0,15
"F14","F",14,3,1,0,0,15
"F15","F",15,3,1,0,0,15
"F16","F",16,3,1,0,0,15
"F17","F",17,3,1,0,0,15
"F18","F",18,3,1,0,0,30
"F19","F",19,3,1,0,0,30
"F20","F",20,3,1,0,0,30
"F21","F",21,3,1,0,0,30
"F22","F",22,3,1,0,0,30
"F23","F",23,3,1,0,0,30
"F24","F",24,3,1,0,0,30
"G1","G",1,4,0,1,0,3.75
"G2","G",2,4,0,1,0,3.75
"G3","G",3,4,0,1,0,3.75
"G4","G",4,4,0,1,0,7.5
"G5","G",5,4,0,1,0,7.5
"G6","G",6,4,0,1,0,7.5
"G7","G",7,4,0,1,0,7.5
"G8","G",8,4,0,1,0,7.5
"G9","G",9,4,0,1,0,7.5
"G10","G",10,4,0,1,0,7.5
"G11","G",11,4,0,1,0,15
"G12","G",12,4,0,1,0,15
"G13","G",13,4,0,1,0,15
"G14","G",14,4,0,1,0,15
"G15","G",15,4,0,1,0,15
"G16","G",16,4,0,1,0,15
"G17","G",17,4,0,1,0,15
"G18","G",18,4,0,1,0,30
"G19","G",19,4,0,1,0,30
"G20","G",20,4,0,1,0,30
"G21","G",21,4,0,1,0,30
"G22","G",22,4,0,1,0,30
"G23","G",23,4,0,1,0,30
"G24","G",24,4,0,1,0,30
"H1","H",1,4,0,1,0,3.75
"H2","H",2,4,0,1,0,3.75
"H3","H",3,4,0,1,0,3.75
"H4","H",4,4,0,1,0,7.5
"H5","H",5,4,0,1,0,7.5
"H6","H",6,4,0,1,0,7.5
"H7","H",7,4,0,1,0,7.5
"H8","H",8,4,0,1,0,7.5
"H9","H",9,4,0,1,0,7.5
"H10","H",10,4,0,1,0,7.5
"H11","H",11,4,0,1,0,15
"H12","H",12,4,0,1,0,15
"H13","H",13,4,0,1,0,15
"H14","H",14,4,0,1,0,15
"H15","H",15,4,0,1,0,15
"H16","H",16,4,0,1,0,15
"H17","H",17,4,0,1,0,15
"H18","H",18,4,0,1,0,30
"H19","H",19,4,0,1,0,30
"H20","H",20,4,0,1,0,30
"H21","H",21,4,0,1,0,30
"H22","H",22,4,0,1,0,30
"H23","H",23,4,0,1,0,30
"H24","H",24,4,0,1,0,30
"I1","I",1,5,0,0,1,3.75
"I2","I",2,5,0,0,1,3.75
"I3","I",3,5,0,0,1,3.75
"I4","I",4,5,0,0,1,7.5
"I5","I",5,5,0,0,1,7.5
"I6","I",6,5,0,0,1,7.5
"I7","I",7,5,0,0,1,7.5
"I8","I",8,5,0,0,1,7.5
"I9","I",9,5,0,0,1,7.5
"I10","I",10,5,0,0,1,7.5
"I11","I",11,5,0,0,1,15
"I12","I",12,5,0,0,1,15
"I13","I",13,5,0,0,1,15
"I14","I",14,5,0,0,1,15
"I15","I",15,5,0,0,1,15
"I16","I",16,5,0,0,1,15
"I17","I",17,5,0,0,1,15
"I18","I",18,5,0,0,1,30
"I19","I",19,5,0,0,1,30
"I20","I",20,5,0,0,1,30
"I21","I",21,5,0,0,1,30
"I22","I",22,5,0,0,1,30
"I23","I",23,5,0,0,1,30
"I24","I",24,5,0,0,1,30
"J1","J",1,5,0,0,1,3.75
"J2","J",2,5,0,0,1,3.75
"J3","J",3,5,0,0,1,3.75
"J4","J",4,5,0,0,1,7.5
"J5","J",5,5,0,0,1,7.5
"J6","J",6,5,0,0,1,7.5
"J7","J",7,5,0,0,1,7.5
"J8","J",8,5,0,0,1,7.5
"J9","J",9,5,0,0,1,7.5
"J10","J",10,5,0,0,1,7.5
"J11","J",11,5,0,0,1,15
"J12","J",12,5,0,0,1,15
"J13","J",13,5,0,0,1,15
"J14","J",14,5,0,0,1,15
"J15","J",15,5,0,0,1,15
"J16","J",16,5,0,0,1,15
"J17","J",17,5,0,0,1,15
"J18","J",18,5,0,0,1,30
"J19","J",19,5,0,0,1,30
"J20","J",20,5,0,0,1,30
"J21","J",21,5,0,0,1,30
"J22","J",22,5,0,0,1,30
"J23","J",23,5,0,0,1,30
"J24","J",24,5,0,0,1,30
"K1","K",1,6,0.68,0.16,0.16,3.75
"K2","K",2,6,0.68,0.16,0.16,3.75
"K3","K",3,6,0.68,0.16,0.16,3.75
"K4","K",4,6,0.68,0.16,0.16,7.5
"K5","K",5,6,0.68,0.16,0.16,7.5
"K6","K",6,6,0.68,0.16,0.16,7.5
"K7","K",7,6,0.68,0.16,0.16,7.5
"K8","K",8,6,0.68,0.16,0.16,7.5
"K9","K",9,6,0.68,0.16,0.16,7.5
"K10","K",10,6,0.68,0.16,0.16,7.5
"K11","K",11,6,0.68,0.16,0.16,15
"K12","K",12,6,0.68,0.16,0.16,15
"K13","K",13,6,0.68,0.16,0.16,15
"K14","K",14,6,0.68,0.16,0.16,15
"K15","K",15,6,0.68,0.16,0.16,15
"K16","K",16,6,0.68,0.16,0.16,15
"K17","K",17,6,0.68,0.16,0.16,15
"K18","K",18,6,0.68,0.16,0.16,30
"K19","K",19,6,0.68,0.16,0.16,30
"K20","K",20,6,0.68,0.16,0.16,30
"K21","K",21,6,0.68,0.16,0.16,30
"K22","K",22,6,0.68,0.16,0.16,30
"K23","K",23,6,0.68,0.16,0.16,30
"K24","K",24,6,0.68,0.16,0.16,30
"L1","L",1,6,0.68,0.16,0.16,3.75
"L2","L",2,6,0.68,0.16,0.16,3.75
"L3","L",3,6,0.68,0.16,0.16,3.75
"L4","L",4,6,0.68,0.16,0.16,7.5
"L5","L",5,6,0.68,0.16,0.16,7.5
"L6","L",6,6,0.68,0.16,0.16,7.5
"L7","L",7,6,0.68,0.16,0.16,7.5
"L8","L",8,6,0.68,0.16,0.16,7.5
"L9","L",9,6,0.68,0.16,0.16,7.5
"L10","L",10,6,0.68,0.16,0.16,7.5
"L11","L",11,6,0.68,0.16,0.16,15
"L12","L",12,6,0.68,0.16,0.16,15
"L13","L",13,6,0.68,0.16,0.16,15
"L14","L",14,6,0.68,0.16,0.16,15
"L15","L",15,6,0.68,0.16,0.16,15
"L16","L",16,6,0.68,0.16,0.16,15
"L17","L",17,6,0.68,0.16,0.16,15
"L18","L",18,6,0.68,0.16,0.16,30
"L19","L",19,6,0.68,0.16,0.16,30
"L20","L",20,6,0.68,0.16,0.16,30
"L21","L",21,6,0.68,0.16,0.16,30
"L22","L",22,6,0.68,0.16,0.16,30
"L23","L",23,6,0.68,0.16,0.16,30
"L24","L",24,6,0.68,0.16,0.16,30
"M1","M",1,7,0.16,0.68,0.16,3.75
"M2","M",2,7,0.16,0.68,0.16,3.75
"M3","M",3,7,0.16,0.68,0.16,3.75
"M4","M",4,7,0.16,0.68,0.16,7.5
"M5","M",5,7,0.16,0.68,0.16,7.5
"M6","M",6,7,0.16,0.68,0.16,7.5
"M7","M",7,7,0.16,0.68,0.16,7.5
"M8","M",8,7,0.16,0.68,0.16,7.5
