"cell_name","well_position","H1975","H2228","HCC827","poor_quality","traj","group"
"Mix2_A24","A24",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_A23","A23",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_A22","A22",0,0,9,"NO","YES","0_0_9"
"Mix2_A21","A21",0,0,9,"NO","YES","0_0_9"
"Mix2_A20","A20",0,0,9,"NO","YES","0_0_9"
"Mix2_A19","A19",0,0,9,"NO","YES","0_0_9"
"Mix2_A18","A18",0,0,9,"NO","YES","0_0_9"
"Mix2_A17","A17",0,0,9,"NO","YES","0_0_9"
"Mix2_A16","A16",0,0,9,"NO","YES","0_0_9"
"Mix2_A15","A15",0,0,9,"NO","YES","0_0_9"
"Mix2_A14","A14",0,0,9,"NO","YES","0_0_9"
"Mix2_A13","A13",0,0,9,"NO","YES","0_0_9"
"Mix2_A12","A12",0,0,9,"NO","YES","0_0_9"
"Mix2_A11","A11",0,0,9,"NO","YES","0_0_9"
"Mix2_A10","A10",0,0,9,"NO","YES","0_0_9"
"Mix2_A9","A9",0,0,9,"NO","YES","0_0_9"
"Mix2_A8","A8",0,0,9,"NO","YES","0_0_9"
"Mix2_A7","A7",0,0,9,"NO","YES","0_0_9"
"Mix2_A6","A6",0,0,9,"NO","YES","0_0_9"
"Mix2_A5","A5",0,0,9,"NO","YES","0_0_9"
"Mix2_A4","A4",0,0,9,"NO","YES","0_0_9"
"Mix2_A3","A3",0,0,9,"NO","YES","0_0_9"
"Mix2_A2","A2",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_A1","A1",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_B24","B24",0,1,8,"NO","NO","1_0_8"
"Mix2_B23","B23",0,1,8,"NO","NO","1_0_8"
"Mix2_B22","B22",0,1,8,"NO","NO","1_0_8"
"Mix2_B21","B21",0,1,8,"NO","NO","1_0_8"
"Mix2_B20","B20",0,1,8,"NO","NO","1_0_8"
"Mix2_B19","B19",0,2,7,"NO","NO","2_0_7"
"Mix2_B18","B18",0,2,7,"NO","NO","2_0_7"
"Mix2_B17","B17",0,2,7,"NO","NO","2_0_7"
"Mix2_B16","B16",0,2,7,"NO","NO","2_0_7"
"Mix2_B15","B15",0,2,7,"NO","NO","2_0_7"
"Mix2_B14","B14",0,3,6,"NO","NO","3_0_6"
"Mix2_B13","B13",0,3,6,"NO","NO","3_0_6"
"Mix2_B12","B12",0,3,6,"NO","NO","3_0_6"
"Mix2_B11","B11",0,3,6,"NO","NO","3_0_6"
"Mix2_B10","B10",0,3,6,"NO","NO","3_0_6"
"Mix2_B9","B9",0,4,5,"NO","NO","4_0_5"
"Mix2_B8","B8",0,4,5,"NO","NO","4_0_5"
"Mix2_B7","B7",0,4,5,"NO","NO","4_0_5"
"Mix2_B6","B6",0,4,5,"NO","NO","4_0_5"
"Mix2_B5","B5",0,4,5,"NO","NO","4_0_5"
"Mix2_B4","B4",0,5,4,"NO","NO","5_0_4"
"Mix2_B3","B3",0,5,4,"NO","NO","5_0_4"
"Mix2_B2","B2",0,5,4,"NO","NO","5_0_4"
"Mix2_B1","B1",0,5,4,"NO","NO","5_0_4"
"Mix2_C24","C24",0,5,4,"NO","NO","5_0_4"
"Mix2_C23","C23",0,6,3,"NO","NO","6_0_3"
"Mix2_C22","C22",0,6,3,"NO","NO","6_0_3"
"Mix2_C21","C21",0,6,3,"NO","NO","6_0_3"
"Mix2_C20","C20",0,6,3,"NO","NO","6_0_3"
"Mix2_C19","C19",0,6,3,"NO","NO","6_0_3"
"Mix2_C18","C18",0,7,2,"NO","NO","7_0_2"
"Mix2_C17","C17",0,7,2,"NO","NO","7_0_2"
"Mix2_C16","C16",0,7,2,"NO","NO","7_0_2"
"Mix2_C15","C15",0,7,2,"NO","NO","7_0_2"
"Mix2_C14","C14",0,7,2,"NO","NO","7_0_2"
"Mix2_C13","C13",0,8,1,"NO","NO","8_0_1"
"Mix2_C12","C12",0,8,1,"NO","NO","8_0_1"
"Mix2_C11","C11",0,8,1,"NO","NO","8_0_1"
"Mix2_C10","C10",0,8,1,"NO","NO","8_0_1"
"Mix2_C9","C9",0,8,1,"NO","NO","8_0_1"
"Mix2_C8","C8",0,9,0,"NO","YES","9_0_0"
"Mix2_C7","C7",0,9,0,"NO","YES","9_0_0"
"Mix2_C6","C6",0,9,0,"NO","YES","9_0_0"
"Mix2_C5","C5",0,9,0,"NO","YES","9_0_0"
"Mix2_C4","C4",0,9,0,"NO","YES","9_0_0"
"Mix2_C3","C3",0,9,0,"NO","YES","9_0_0"
"Mix2_C2","C2",0,9,0,"NO","YES","9_0_0"
"Mix2_C1","C1",0,9,0,"NO","YES","9_0_0"
"Mix2_D24","D24",0,9,0,"NO","YES","9_0_0"
"Mix2_D23","D23",0,9,0,"NO","YES","9_0_0"
"Mix2_D22","D22",0,9,0,"NO","YES","9_0_0"
"Mix2_D21","D21",0,9,0,"NO","YES","9_0_0"
"Mix2_D20","D20",0,9,0,"NO","YES","9_0_0"
"Mix2_D19","D19",0,9,0,"NO","YES","9_0_0"
"Mix2_D18","D18",0,9,0,"NO","YES","9_0_0"
"Mix2_D17","D17",0,9,0,"NO","YES","9_0_0"
"Mix2_D16","D16",0,9,0,"NO","YES","9_0_0"
"Mix2_D15","D15",0,9,0,"NO","YES","9_0_0"
"Mix2_D14","D14",0,9,0,"NO","YES","9_0_0"
"Mix2_D13","D13",0,9,0,"NO","YES","9_0_0"
"Mix2_D12","D12",1,0,8,"NO","NO","0_1_8"
"Mix2_D11","D11",1,0,8,"NO","NO","0_1_8"
"Mix2_D10","D10",1,0,8,"NO","NO","0_1_8"
"Mix2_D9","D9",1,0,8,"NO","NO","0_1_8"
"Mix2_D8","D8",1,0,8,"NO","NO","0_1_8"
"Mix2_D7","D7",1,1,7,"NO","YES","1_1_7"
"Mix2_D6","D6",1,1,7,"NO","YES","1_1_7"
"Mix2_D5","D5",1,1,7,"NO","YES","1_1_7"
"Mix2_D4","D4",1,1,7,"NO","YES","1_1_7"
"Mix2_D3","D3",1,1,7,"NO","YES","1_1_7"
"Mix2_D2","D2",1,1,7,"NO","YES","1_1_7"
"Mix2_D1","D1",1,1,7,"NO","YES","1_1_7"
"Mix2_E24","E24",1,1,7,"NO","YES","1_1_7"
"Mix2_E23","E23",1,1,7,"NO","YES","1_1_7"
"Mix2_E22","E22",1,1,7,"NO","YES","1_1_7"
"Mix2_E21","E21",1,1,7,"NO","YES","1_1_7"
"Mix2_E20","E20",1,1,7,"NO","YES","1_1_7"
"Mix2_E19","E19",1,1,7,"NO","YES","1_1_7"
