"cell_name","wall_position","H1975","H2228","HCC827","poor_quality","traj","group"
"Mix4_A24","A24",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_A23","A23",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_A22","A22",0,0,9,"NO","YES","0_0_9"
"Mix4_A21","A21",0,0,9,"NO","YES","0_0_9"
"Mix4_A20","A20",0,0,9,"NO","YES","0_0_9"
"Mix4_A19","A19",0,0,9,"NO","YES","0_0_9"
"Mix4_A18","A18",0,0,9,"NO","YES","0_0_9"
"Mix4_A17","A17",0,0,9,"NO","YES","0_0_9"
"Mix4_A16","A16",0,0,9,"NO","YES","0_0_9"
"Mix4_A15","A15",0,0,9,"NO","YES","0_0_9"
"Mix4_A14","A14",0,0,9,"NO","YES","0_0_9"
"Mix4_A13","A13",0,0,9,"NO","YES","0_0_9"
"Mix4_A12","A12",0,0,9,"NO","YES","0_0_9"
"Mix4_A11","A11",0,0,9,"NO","YES","0_0_9"
"Mix4_A10","A10",0,0,9,"NO","YES","0_0_9"
"Mix4_A9","A9",0,0,9,"NO","YES","0_0_9"
"Mix4_A8","A8",0,0,9,"NO","YES","0_0_9"
"Mix4_A7","A7",0,0,9,"NO","YES","0_0_9"
"Mix4_A6","A6",0,0,9,"NO","YES","0_0_9"
"Mix4_A5","A5",0,0,9,"NO","YES","0_0_9"
"Mix4_A4","A4",0,0,9,"NO","YES","0_0_9"
"Mix4_A3","A3",0,0,9,"NO","YES","0_0_9"
"Mix4_A2","A2",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_A1","A1",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix4_B24","B24",0,1,8,"NO","NO","1_0_8"
"Mix4_B23","B23",0,1,8,"NO","NO","1_0_8"
"Mix4_B22","B22",0,1,8,"NO","NO","1_0_8"
"Mix4_B21","B21",0,1,8,"NO","NO","1_0_8"
"Mix4_B20","B20",0,1,8,"NO","NO","1_0_8"
"Mix4_B19","B19",0,2,7,"NO","NO","2_0_7"
"Mix4_B18","B18",0,2,7,"NO","NO","2_0_7"
"Mix4_B17","B17",0,2,7,"NO","NO","2_0_7"
"Mix4_B16","B16",0,2,7,"NO","NO","2_0_7"
"Mix4_B15","B15",0,2,7,"NO","NO","2_0_7"
"Mix4_B14","B14",0,3,6,"NO","NO","3_0_6"
"Mix4_B13","B13",0,3,6,"NO","NO","3_0_6"
"Mix4_B12","B12",0,3,6,"NO","NO","3_0_6"
"Mix4_B11","B11",0,3,6,"NO","NO","3_0_6"
"Mix4_B10","B10",0,3,6,"NO","NO","3_0_6"
"Mix4_B9","B9",0,4,5,"NO","NO","4_0_5"
"Mix4_B8","B8",0,4,5,"NO","NO","4_0_5"
"Mix4_B7","B7",0,4,5,"NO","NO","4_0_5"
"Mix4_B6","B6",0,4,5,"NO","NO","4_0_5"
"Mix4_B5","B5",0,4,5,"NO","NO","4_0_5"
"Mix4_B4","B4",0,5,4,"NO","NO","5_0_4"
"Mix4_B3","B3",0,5,4,"NO","NO","5_0_4"
"Mix4_B2","B2",0,5,4,"NO","NO","5_0_4"
"Mix4_B1","B1",0,5,4,"NO","NO","5_0_4"
"Mix4_C24","C24",0,5,4,"NO","NO","5_0_4"
"Mix4_C23","C23",0,6,3,"NO","NO","6_0_3"
"Mix4_C22","C22",0,6,3,"NO","NO","6_0_3"
"Mix4_C21","C21",0,6,3,"NO","NO","6_0_3"
"Mix4_C20","C20",0,6,3,"NO","NO","6_0_3"
"Mix4_C19","C19",0,6,3,"NO","NO","6_0_3"
"Mix4_C18","C18",0,7,2,"NO","NO","7_0_2"
"Mix4_C17","C17",0,7,2,"NO","NO","7_0_2"
"Mix4_C16","C16",0,7,2,"NO","NO","7_0_2"
"Mix4_C15","C15",0,7,2,"NO","NO","7_0_2"
"Mix4_C14","C14",0,7,2,"NO","NO","7_0_2"
"Mix4_C13","C13",0,8,1,"NO","NO","8_0_1"
"Mix4_C12","C12",0,8,1,"NO","NO","8_0_1"
"Mix4_C11","C11",0,8,1,"NO","NO","8_0_1"
"Mix4_C10","C10",0,8,1,"NO","NO","8_0_1"
"Mix4_C9","C9",0,8,1,"NO","NO","8_0_1"
"Mix4_C8","C8",0,9,0,"NO","YES","9_0_0"
"Mix4_C7","C7",0,9,0,"NO","YES","9_0_0"
"Mix4_C6","C6",0,9,0,"NO","YES","9_0_0"
"Mix4_C5","C5",0,9,0,"NO","YES","9_0_0"
"Mix4_C4","C4",0,9,0,"NO","YES","9_0_0"
"Mix4_C3","C3",0,9,0,"NO","YES","9_0_0"
"Mix4_C2","C2",0,9,0,"NO","YES","9_0_0"
"Mix4_C1","C1",0,9,0,"NO","YES","9_0_0"
"Mix4_D24","D24",0,9,0,"NO","YES","9_0_0"
"Mix4_D23","D23",0,9,0,"NO","YES","9_0_0"
"Mix4_D22","D22",0,9,0,"NO","YES","9_0_0"
"Mix4_D21","D21",0,9,0,"NO","YES","9_0_0"
"Mix4_D20","D20",0,9,0,"NO","YES","9_0_0"
"Mix4_D19","D19",0,9,0,"NO","YES","9_0_0"
"Mix4_D18","D18",0,9,0,"NO","YES","9_0_0"
"Mix4_D17","D17",0,9,0,"NO","YES","9_0_0"
"Mix4_D16","D16",0,9,0,"NO","YES","9_0_0"
"Mix4_D15","D15",0,9,0,"NO","YES","9_0_0"
"Mix4_D14","D14",0,9,0,"NO","YES","9_0_0"
"Mix4_D13","D13",0,9,0,"NO","YES","9_0_0"
"Mix4_D12","D12",1,0,8,"NO","NO","0_1_8"
"Mix4_D11","D11",1,0,8,"NO","NO","0_1_8"
"Mix4_D10","D10",1,0,8,"NO","NO","0_1_8"
"Mix4_D9","D9",1,0,8,"NO","NO","0_1_8"
"Mix4_D8","D8",1,0,8,"NO","NO","0_1_8"
"Mix4_D7","D7",1,1,7,"NO","YES","1_1_7"
"Mix4_D6","D6",1,1,7,"NO","YES","1_1_7"
"Mix4_D5","D5",1,1,7,"NO","YES","1_1_7"
"Mix4_D4","D4",1,1,7,"NO","YES","1_1_7"
"Mix4_D3","D3",1,1,7,"NO","YES","1_1_7"
"Mix4_D2","D2",1,1,7,"NO","YES","1_1_7"
"Mix4_D1","D1",1,1,7,"NO","YES","1_1_7"
"Mix4_E24","E24",1,1,7,"NO","YES","1_1_7"
"Mix4_E23","E23",1,1,7,"NO","YES","1_1_7"
"Mix4_E22","E22",1,1,7,"NO","YES","1_1_7"
"Mix4_E21","E21",1,1,7,"NO","YES","1_1_7"
"Mix4_E20","E20",1,1,7,"NO","YES","1_1_7"
"Mix4_E19","E19",1,1,7,"NO","YES","1_1_7"
"Mix4_E18","E18",1,1,7,"NO","YES","1_1_7"
"Mix4_E17","E17",1,1,7,"NO","YES","1_1_7"
"Mix4_E16","E16",1,1,7,"NO","YES","1_1_7"
"Mix4_E15","E15",1,1,7,"NO","YES","1_1_7"
"Mix4_E14","E14",1,1,7,"NO","YES","1_1_7"
"Mix4_E13","E13",1,1,7,"NO","YES","1_1_7"
"Mix4_E12","E12",1,1,7,"NO","YES","1_1_7"
"Mix4_E11","E11",1,7,1,"NO","YES","7_1_1"
"Mix4_E10","E10",1,7,1,"NO","YES","7_1_1"
"Mix4_E9","E9",1,7,1,"NO","YES","7_1_1"
"Mix4_E8","E8",1,7,1,"NO","YES","7_1_1"
"Mix4_E7","E7",1,7,1,"NO","YES","7_1_1"
"Mix4_E6","E6",1,7,1,"NO","YES","7_1_1"
"Mix4_E5","E5",1,7,1,"NO","YES","7_1_1"
"Mix4_E4","E4",1,7,1,"NO","YES","7_1_1"
"Mix4_E3","E3",1,7,1,"NO","YES","7_1_1"
"Mix4_E2","E2",1,7,1,"NO","YES","7_1_1"
"Mix4_E1","E1",1,7,1,"NO","YES","7_1_1"
"Mix4_F24","F24",1,7,1,"NO","YES","7_1_1"
"Mix4_F23","F23",1,7,1,"NO","YES","7_1_1"
"Mix4_F22","F22",1,7,1,"NO","YES","7_1_1"
"Mix4_F21","F21",1,7,1,"NO","YES","7_1_1"
"Mix4_F20","F20",1,7,1,"NO","YES","7_1_1"
"Mix4_F19","F19",1,7,1,"NO","YES","7_1_1"
"Mix4_F18","F18",1,7,1,"NO","YES","7_1_1"
"Mix4_F17","F17",1,7,1,"NO","YES","7_1_1"
"Mix4_F16","F16",1,7,1,"NO","YES","7_1_1"
"Mix4_F15","F15",1,8,0,"NO","NO","8_1_0"
