"rows","cols","wall_position","H1975","H2228","HCC827","poor_quality","traj"
16,24,"A24",NA,NA,NA,"NO","NO"
16,23,"A23",NA,NA,NA,"NO","NO"
16,22,"A22",0,0,9,"NO","YES"
16,21,"A21",0,0,9,"NO","YES"
16,20,"A20",0,0,9,"NO","YES"
16,19,"A19",0,0,9,"NO","YES"
16,18,"A18",0,0,9,"NO","YES"
16,17,"A17",0,0,9,"NO","YES"
16,16,"A16",0,0,9,"NO","YES"
16,15,"A15",0,0,9,"NO","YES"
16,14,"A14",0,0,9,"NO","YES"
16,13,"A13",0,0,9,"NO","YES"
16,12,"A12",0,0,9,"NO","YES"
16,11,"A11",0,0,9,"NO","YES"
16,10,"A10",0,0,9,"NO","YES"
16,9,"A9",0,0,9,"NO","YES"
16,8,"A8",0,0,9,"NO","YES"
16,7,"A7",0,0,9,"NO","YES"
16,6,"A6",0,0,9,"NO","YES"
16,5,"A5",0,0,9,"NO","YES"
16,4,"A4",0,0,9,"NO","YES"
16,3,"A3",0,0,9,"NO","YES"
16,2,"A2",NA,NA,NA,"NO","NO"
16,1,"A1",NA,NA,NA,"NO","NO"
15,24,"B24",0,1,8,"NO","NO"
15,23,"B23",0,1,8,"NO","NO"
15,22,"B22",0,1,8,"NO","NO"
15,21,"B21",0,1,8,"NO","NO"
15,20,"B20",0,1,8,"NO","NO"
15,19,"B19",0,2,7,"NO","NO"
15,18,"B18",0,2,7,"NO","NO"
15,17,"B17",0,2,7,"NO","NO"
15,16,"B16",0,2,7,"NO","NO"
15,15,"B15",0,2,7,"NO","NO"
15,14,"B14",0,3,6,"NO","NO"
15,13,"B13",0,3,6,"NO","NO"
15,12,"B12",0,3,6,"NO","NO"
15,11,"B11",0,3,6,"NO","NO"
15,10,"B10",0,3,6,"NO","NO"
15,9,"B9",0,4,5,"NO","NO"
15,8,"B8",0,4,5,"NO","NO"
15,7,"B7",0,4,5,"NO","NO"
15,6,"B6",0,4,5,"NO","NO"
15,5,"B5",0,4,5,"NO","NO"
15,4,"B4",0,5,4,"NO","NO"
15,3,"B3",0,5,4,"NO","NO"
15,2,"B2",0,5,4,"NO","NO"
15,1,"B1",0,5,4,"NO","NO"
14,24,"C24",0,5,4,"NO","NO"
14,23,"C23",0,6,3,"NO","NO"
14,22,"C22",0,6,3,"NO","NO"
14,21,"C21",0,6,3,"NO","NO"
14,20,"C20",0,6,3,"NO","NO"
14,19,"C19",0,6,3,"NO","NO"
14,18,"C18",0,7,2,"NO","NO"
14,17,"C17",0,7,2,"NO","NO"
14,16,"C16",0,7,2,"NO","NO"
14,15,"C15",0,7,2,"NO","NO"
14,14,"C14",0,7,2,"NO","NO"
14,13,"C13",0,8,1,"NO","NO"
14,12,"C12",0,8,1,"NO","NO"
14,11,"C11",0,8,1,"NO","NO"
14,10,"C10",0,8,1,"NO","NO"
14,9,"C9",0,8,1,"NO","NO"
14,8,"C8",0,9,0,"NO","YES"
14,7,"C7",0,9,0,"NO","YES"
14,6,"C6",0,9,0,"NO","YES"
14,5,"C5",0,9,0,"NO","YES"
14,4,"C4",0,9,0,"NO","YES"
14,3,"C3",0,9,0,"NO","YES"
14,2,"C2",0,9,0,"NO","YES"
14,1,"C1",0,9,0,"NO","YES"
13,24,"D24",0,9,0,"NO","YES"
13,23,"D23",0,9,0,"NO","YES"
13,22,"D22",0,9,0,"NO","YES"
13,21,"D21",0,9,0,"NO","YES"
13,20,"D20",0,9,0,"NO","YES"
13,19,"D19",0,9,0,"NO","YES"
13,18,"D18",0,9,0,"NO","YES"
13,17,"D17",0,9,0,"NO","YES"
13,16,"D16",0,9,0,"NO","YES"
13,15,"D15",0,9,0,"NO","YES"
13,14,"D14",0,9,0,"NO","YES"
13,13,"D13",0,9,0,"NO","YES"
13,12,"D12",1,0,8,"NO","NO"
13,11,"D11",1,0,8,"NO","NO"
13,10,"D10",1,0,8,"NO","NO"
13,9,"D9",1,0,8,"NO","NO"
13,8,"D8",1,0,8,"NO","NO"
13,7,"D7",1,1,7,"NO","YES"
13,6,"D6",1,1,7,"NO","YES"
13,5,"D5",1,1,7,"NO","YES"
13,4,"D4",1,1,7,"NO","YES"
13,3,"D3",1,1,7,"NO","YES"
13,2,"D2",1,1,7,"NO","YES"
13,1,"D1",1,1,7,"NO","YES"
12,24,"E24",1,1,7,"NO","YES"
12,23,"E23",1,1,7,"NO","YES"
12,22,"E22",1,1,7,"NO","YES"
12,21,"E21",1,1,7,"NO","YES"
12,20,"E20",1,1,7,"NO","YES"
12,19,"E19",1,1,7,"NO","YES"
12,18,"E18",1,1,7,"NO","YES"
12,17,"E17",1,1,7,"NO","YES"
12,16,"E16",1,1,7,"NO","YES"
