"cell_name","cell_line_demuxlet","demuxlet_cls"
"CELL_002677","HCC827","DBL"
"CELL_000981","HCC827","DBL"
"CELL_000722","H1975","DBL"
"CELL_000019","H2228","SNG"
"CELL_001546","H2228","DBL"
"CELL_000885","H2228","DBL"
"CELL_001241","H1975","DBL"
"CELL_002950","H1975","DBL"
"CELL_001464","H1975","DBL"
"CELL_001367","HCC827","DBL"
"CELL_003520","H1975","DBL"
"CELL_000730","H1975","DBL"
"CELL_000909","H2228","DBL"
"CELL_000918","H1975","SNG"
"CELL_003203","H1975","DBL"
"CELL_003686","H1975","DBL"
"CELL_000967","H2228","DBL"
"CELL_001902","H1975","DBL"
"CELL_001722","HCC827","DBL"
"CELL_003757","H1975","DBL"
"CELL_002217","H1975","DBL"
"CELL_003932","HCC827","DBL"
"CELL_003496","HCC827","DBL"
"CELL_003360","H1975","DBL"
"CELL_001154","H2228","DBL"
"CELL_003022","H1975","DBL"
"CELL_002151","HCC827","DBL"
"CELL_000255","H1975","DBL"
"CELL_003086","H2228","DBL"
"CELL_000305","H1975","SNG"
"CELL_003289","H1975","DBL"
"CELL_003693","H1975","DBL"
"CELL_002288","H1975","DBL"
"CELL_003987","H1975","DBL"
"CELL_003624","H1975","DBL"
"CELL_001206","H1975","DBL"
"CELL_000150","H2228","SNG"
"CELL_000749","H2228","SNG"
"CELL_002422","H2228","DBL"
"CELL_002130","H1975","DBL"
"CELL_003012","H1975","DBL"
"CELL_000161","HCC827","SNG"
"CELL_000224","H1975","SNG"
"CELL_002490","H2228","DBL"
"CELL_001402","A549","DBL"
"CELL_001339","H1975","DBL"
"CELL_001296","H1975","DBL"
"CELL_002769","H1975","DBL"
"CELL_001942","H1975","DBL"
"CELL_000549","H2228","DBL"
"CELL_002065","H1975","DBL"
"CELL_001425","HCC827","DBL"
"CELL_000750","H2228","DBL"
"CELL_000195","H1975","SNG"
"CELL_003300","H1975","DBL"
"CELL_002497","H1975","DBL"
"CELL_002111","HCC827","DBL"
"CELL_003299","A549","DBL"
"CELL_002911","HCC827","DBL"
"CELL_002316","H1975","DBL"
"CELL_000216","H2228","SNG"
"CELL_001463","H2228","DBL"
"CELL_003241","H1975","DBL"
"CELL_001381","H1975","DBL"
"CELL_002450","H1975","DBL"
"CELL_003495","H1975","DBL"
"CELL_000189","H2228","SNG"
"CELL_000636","H1975","DBL"
"CELL_003863","H1975","DBL"
"CELL_003926","H1975","DBL"
"CELL_000831","H1975","DBL"
"CELL_001756","H1975","DBL"
"CELL_002079","H1975","DBL"
"CELL_003090","HCC827","DBL"
"CELL_000220","HCC827","DBL"
"CELL_001344","H1975","DBL"
"CELL_001096","H2228","DBL"
"CELL_001103","H1975","DBL"
"CELL_001184","H1975","DBL"
"CELL_003658","H2228","DBL"
"CELL_000796","HCC827","DBL"
"CELL_002934","H1975","DBL"
"CELL_003396","H2228","DBL"
"CELL_002026","H1975","DBL"
"CELL_002791","H1975","DBL"
"CELL_002206","H2228","DBL"
"CELL_000423","HCC827","DBL"
"CELL_003400","A549","DBL"
"CELL_003743","H1975","DBL"
"CELL_002270","A549","DBL"
"CELL_002457","H1975","DBL"
"CELL_000703","H2228","DBL"
"CELL_000462","HCC827","DBL"
"CELL_000347","H2228","DBL"
"CELL_001846","H1975","DBL"
"CELL_001979","H2228","DBL"
"CELL_000872","HCC827","DBL"
"CELL_002318","H1975","DBL"
"CELL_002648","H1975","DBL"
"CELL_002005","H1975","DBL"
"CELL_001739","H2228","DBL"
"CELL_003049","H1975","DBL"
"CELL_002315","H1975","DBL"
"CELL_003330","HCC827","DBL"
"CELL_001012","H2228","DBL"
"CELL_002059","H1975","DBL"
"CELL_003731","H2228","DBL"
"CELL_001512","H1975","DBL"
"CELL_000545","H1975","DBL"
"CELL_000390","H1975","DBL"
"CELL_002152","H1975","DBL"
"CELL_002766","H1975","DBL"
"CELL_002858","H1975","DBL"
"CELL_001664","H2228","DBL"
"CELL_000013","H2228","SNG"
"CELL_002218","A549","DBL"
"CELL_000925","H2228","DBL"
"CELL_003398","H1975","DBL"
"CELL_000490","H1975","DBL"
"CELL_003294","H1975","DBL"
"CELL_000571","H1975","DBL"
"CELL_002521","H1975","DBL"
"CELL_001027","H1975","DBL"
"CELL_001292","H1975","DBL"
"CELL_002558","HCC827","DBL"
"CELL_001291","H1975","DBL"
"CELL_003344","H1975","DBL"
"CELL_001993","A549","DBL"
