"cell_name","cell_line_demuxlet","demuxlet_cls"
"Lib90_02792","H1975","SNG"
"Lib90_00549","H1975","SNG"
"Lib90_00952","H8383","SNG"
"Lib90_01575","H8383","SNG"
"Lib90_03320","H2228","SNG"
"Lib90_00241","H2228","SNG"
"Lib90_00441","H2228","SNG"
"Lib90_00214","H1975","SNG"
"Lib90_02213","A549","SNG"
"Lib90_01972","H1975","SNG"
"Lib90_00665","H8383","SNG"
"Lib90_04797","HCC827","SNG"
"Lib90_01029","H1975","SNG"
"Lib90_03623","HCC827","SNG"
"Lib90_02103","H2228","SNG"
"Lib90_02591","A549","SNG"
"Lib90_00533","H8383","SNG"
"Lib90_01746","HCC827","SNG"
"Lib90_00773","H8383","SNG"
"Lib90_02155","H8383","SNG"
"Lib90_01791","H2228","SNG"
"Lib90_00841","HCC827","SNG"
"Lib90_02821","A549","SNG"
"Lib90_04796","H8383","DBL"
"Lib90_01303","HCC827","SNG"
"Lib90_02180","HCC827","SNG"
"Lib90_00943","H2228","SNG"
"Lib90_02503","A549","SNG"
"Lib90_01094","H2228","SNG"
"Lib90_03424","A549","SNG"
"Lib90_01432","H2228","SNG"
"Lib90_04958","HCC827","DBL"
"Lib90_01657","A549","SNG"
"Lib90_01149","H8383","SNG"
"Lib90_03423","A549","SNG"
"Lib90_00752","HCC827","SNG"
"Lib90_04014","HCC827","SNG"
"Lib90_01293","H1975","SNG"
"Lib90_03858","H1975","SNG"
"Lib90_03947","H8383","SNG"
"Lib90_02403","HCC827","SNG"
"Lib90_01956","A549","SNG"
"Lib90_00840","H8383","SNG"
"Lib90_02756","A549","SNG"
"Lib90_03468","HCC827","SNG"
"Lib90_04282","HCC827","SNG"
"Lib90_00321","H2228","DBL"
"Lib90_04690","H2228","DBL"
"Lib90_01254","H8383","SNG"
"Lib90_01547","H8383","SNG"
"Lib90_02393","H2228","SNG"
"Lib90_04767","HCC827","SNG"
"Lib90_04405","H2228","SNG"
"Lib90_03058","A549","SNG"
"Lib90_03365","H8383","SNG"
"Lib90_00131","A549","DBL"
"Lib90_00621","A549","SNG"
"Lib90_02824","A549","SNG"
"Lib90_00707","H2228","SNG"
"Lib90_04061","HCC827","SNG"
"Lib90_01514","H1975","SNG"
"Lib90_00706","H1975","SNG"
"Lib90_03471","HCC827","SNG"
"Lib90_03967","A549","SNG"
"Lib90_02671","HCC827","SNG"
"Lib90_02787","A549","SNG"
"Lib90_04598","H8383","SNG"
"Lib90_01835","H8383","SNG"
"Lib90_04410","HCC827","DBL"
"Lib90_04086","HCC827","SNG"
"Lib90_01660","H2228","SNG"
"Lib90_02791","A549","SNG"
"Lib90_03764","H8383","SNG"
"Lib90_02519","A549","SNG"
"Lib90_04911","HCC827","DBL"
"Lib90_01103","A549","SNG"
"Lib90_00942","H8383","SNG"
"Lib90_00844","H8383","SNG"
"Lib90_02166","A549","SNG"
"Lib90_00858","H8383","SNG"
"Lib90_02161","A549","SNG"
"Lib90_03453","H2228","SNG"
"Lib90_02546","H8383","SNG"
"Lib90_02212","H1975","SNG"
"Lib90_00400","H2228","SNG"
"Lib90_01427","H8383","SNG"
"Lib90_02146","H2228","SNG"
"Lib90_01464","HCC827","SNG"
"Lib90_02292","H1975","SNG"
"Lib90_02903","HCC827","SNG"
"Lib90_01896","A549","SNG"
"Lib90_03026","A549","SNG"
"Lib90_00987","HCC827","SNG"
"Lib90_03000","A549","SNG"
"Lib90_01681","H2228","SNG"
"Lib90_02121","H2228","SNG"
"Lib90_03582","HCC827","SNG"
"Lib90_02151","A549","SNG"
"Lib90_03285","A549","SNG"
"Lib90_02467","H1975","SNG"
"Lib90_01653","HCC827","SNG"
"Lib90_00885","HCC827","SNG"
"Lib90_04877","A549","DBL"
"Lib90_00577","HCC827","SNG"
"Lib90_01442","H2228","SNG"
"Lib90_04463","HCC827","SNG"
"Lib90_03827","A549","SNG"
"Lib90_03209","A549","SNG"
"Lib90_00144","H8383","DBL"
"Lib90_00277","H8383","SNG"
"Lib90_01374","HCC827","SNG"
"Lib90_00382","H1975","SNG"
"Lib90_01540","H8383","SNG"
"Lib90_01058","H1975","SNG"
"Lib90_02886","A549","SNG"
"Lib90_03074","A549","SNG"
"Lib90_00586","H2228","SNG"
"Lib90_02510","H8383","SNG"
"Lib90_01057","H2228","DBL"
"Lib90_00994","H1975","SNG"
"Lib90_03760","H8383","SNG"
"Lib90_01680","A549","SNG"
"Lib90_03943","H8383","SNG"
"Lib90_02317","A549","SNG"
"Lib90_01195","H8383","SNG"
"Lib90_00368","HCC827","SNG"
"Lib90_02335","A549","SNG"
"Lib90_03653","A549","SNG"
"Lib90_03260","H8383","SNG"
"Lib90_00264","H8383","SNG"
"Lib90_00466","H8383","SNG"
"Lib90_00843","H8383","SNG"
"Lib90_03455","H2228","SNG"
"Lib90_04069","H8383","SNG"
"Lib90_01194","H2228","SNG"
"Lib90_02636","H2228","SNG"
"Lib90_01128","H8383","SNG"
"Lib90_00857","H1975","SNG"
"Lib90_01875","A549","SNG"
