"cell_name","cell_line_demuxlet","demuxlet_cls"
"P10","H1975","SNG"
"G22","H1975","SNG"
"I13","HCC827","SNG"
"H20","HCC827","SNG"
"N14","H1975","DBL"
"I10","H1975","SNG"
"I17","H2228","DBL"
"I6","H1975","DBL"
"G16","H1975","SNG"
"D1","H2228","SNG"
"F19","H1975","SNG"
"F7","HCC827","SNG"
"L2","H2228","DBL"
"P12","H2228","SNG"
"I7","H2228","DBL"
"G24","HCC827","SNG"
"F9","HCC827","DBL"
"H24","H2228","SNG"
"K2","H1975","DBL"
"M23","HCC827","DBL"
"K22","H1975","SNG"
"D23","A549","DBL"
"K8","H1975","SNG"
"L19","H1975","SNG"
"B19","H1975","SNG"
"N5","HCC827","SNG"
"G5","H1975","DBL"
"H21","HCC827","SNG"
"H15","H1975","SNG"
"P22","HCC827","SNG"
"E5","H1975","SNG"
"K15","H1975","DBL"
"P3","H1975","DBL"
"C5","H2228","DBL"
"H10","HCC827","SNG"
"P11","H2228","DBL"
"P18","H1975","DBL"
"C7","H2228","DBL"
"K13","H2228","SNG"
"A22","H1975","DBL"
"M7","H1975","SNG"
"C24","HCC827","SNG"
"C10","H1975","SNG"
"K7","HCC827","SNG"
"A15","H1975","SNG"
"P20","HCC827","SNG"
"I5","H1975","DBL"
"O4","H1975","DBL"
"B3","HCC827","SNG"
"M24","H1975","SNG"
"I15","H1975","SNG"
"M15","H2228","SNG"
"F23","H2228","SNG"
"A8","H1975","SNG"
"O15","H1975","SNG"
"A16","H2228","SNG"
"L6","H1975","SNG"
"F15","HCC827","SNG"
"E8","H2228","SNG"
"L14","H1975","SNG"
"F3","H1975","SNG"
"J10","HCC827","DBL"
"N8","H1975","SNG"
"D21","HCC827","SNG"
"K19","H1975","DBL"
"C16","HCC827","SNG"
"K16","HCC827","SNG"
"H9","H1975","DBL"
"B2","HCC827","SNG"
"E9","H2228","SNG"
"O21","H1975","SNG"
"C1","H1975","DBL"
"H5","H2228","DBL"
"O23","H1975","DBL"
"G21","HCC827","SNG"
"F5","H2228","SNG"
"C8","H2228","SNG"
"L10","H1975","DBL"
"E24","H2228","SNG"
"I8","HCC827","SNG"
"B6","H2228","DBL"
"I20","H1975","DBL"
"I12","H1975","SNG"
"N6","H1975","SNG"
"D6","H1975","DBL"
"B20","H1975","SNG"
"O12","H2228","SNG"
"E15","H1975","DBL"
"M6","H1975","SNG"
"F1","H1975","SNG"
"M16","HCC827","SNG"
"D3","H2228","SNG"
"I22","H2228","DBL"
"H11","H1975","SNG"
"I1","H1975","DBL"
"O3","H1975","DBL"
"L15","H2228","DBL"
"A19","H1975","DBL"
"B11","HCC827","SNG"
"O22","HCC827","DBL"
"E19","HCC827","SNG"
"J2","H1975","SNG"
"A11","HCC827","SNG"
"K10","HCC827","SNG"
"I11","H1975","SNG"
"N18","H1975","DBL"
"N12","H1975","DBL"
"E18","H2228","SNG"
"I2","H1975","DBL"
"L20","H1975","SNG"
"G2","H1975","DBL"
"C17","H2228","SNG"
"N22","H1975","DBL"
"D12","H1975","DBL"
"J1","H1975","DBL"
"J13","HCC827","DBL"
"D20","H1975","SNG"
"N11","HCC827","SNG"
"B22","H2228","SNG"
"H12","H1975","SNG"
"D9","H1975","SNG"
"H23","H1975","SNG"
"C9","H1975","DBL"
"D7","HCC827","SNG"
"H17","H2228","DBL"
"M9","H1975","SNG"
"G15","H1975","SNG"
"L16","HCC827","DBL"
"O6","H1975","SNG"
"D2","H2228","SNG"
"K24","H1975","SNG"
"G6","HCC827","SNG"
"B14","HCC827","SNG"
"N15","H1975","DBL"
"A10","H2228","SNG"
"D19","HCC827","SNG"
"A18","HCC827","SNG"
"B18","H2228","SNG"
"B5","HCC827","SNG"
"H22","H1975","SNG"
"H7","HCC827","SNG"
"G3","H2228","DBL"
"J14","H1975","SNG"
"H3","H2228","DBL"
"E12","H1975","SNG"
"G20","H1975","SNG"
"L4","H2228","SNG"
"J11","H1975","DBL"
"F8","H1975","SNG"
"E23","H2228","SNG"
"L9","H1975","SNG"
"G18","H2228","SNG"
"E17","H1975","SNG"
"L12","HCC827","DBL"
"O20","H2228","SNG"
"J21","H2228","DBL"
"B24","H1975","SNG"
"L11","H1975","DBL"
"I24","HCC827","SNG"
"K21","H1975","SNG"
"N7","HCC827","SNG"
"O18","H1975","SNG"
"D10","H2228","SNG"
"K23","H1975","SNG"
"B8","H1975","SNG"
"I16","H2228","DBL"
"P9","H1975","SNG"
"J8","HCC827","DBL"
"D4","H1975","SNG"
"I3","H2228","DBL"
"L1","H2228","SNG"
"I9","H2228","DBL"
"C4","H2228","DBL"
"O1","H1975","DBL"
"O16","HCC827","SNG"
"C15","H1975","SNG"
"A12","HCC827","DBL"
"J20","H1975","DBL"
"B7","HCC827","SNG"
"I14","H1975","SNG"
"F20","H1975","SNG"
"A13","H2228","SNG"
"P16","HCC827","DBL"
"J12","H1975","DBL"
"L7","H8383","SNG"
"D24","H1975","DBL"
"O17","H1975","SNG"
"G7","H1975","SNG"
"M13","H2228","SNG"
"J22","HCC827","SNG"
"C22","H2228","SNG"
"L13","H2228","SNG"
"D8","H1975","SNG"
"B1","H1975","SNG"
"A6","HCC827","SNG"
"O14","H1975","SNG"
"P8","H2228","SNG"
"F6","H1975","SNG"
"F16","H1975","DBL"
"D13","HCC827","DBL"
"A9","H2228","DBL"
"G4","H1975","DBL"
"G9","H1975","SNG"
"M10","H1975","DBL"
"I18","HCC827","SNG"
"M4","HCC827","SNG"
"L22","H1975","SNG"
"B10","HCC827","SNG"
"K12","H2228","SNG"
"A20","H1975","SNG"
"J24","H2228","DBL"
"N20","HCC827","DBL"
"A17","HCC827","DBL"
"J6","H1975","DBL"
"M20","HCC827","SNG"
"O8","H2228","SNG"
"O2","H1975","DBL"
"B9","HCC827","SNG"
"C12","HCC827","SNG"
"L18","H2228","DBL"
"N1","H2228","SNG"
"B12","HCC827","SNG"
"F11","HCC827","SNG"
"N19","H2228","SNG"
"J19","H1975","SNG"
"H18","H1975","SNG"
"D5","HCC827","SNG"
"G17","H2228","SNG"
"C14","H1975","SNG"
"K9","H2228","DBL"
"F17","HCC827","SNG"
"P14","HCC827","DBL"
"H8","H2228","DBL"
"O13","H2228","SNG"
"C3","HCC827","DBL"
"N3","H1975","SNG"
"H19","H1975","SNG"
"D15","H2228","SNG"
"C18","H1975","SNG"
"E4","HCC827","SNG"
"M8","H2228","SNG"
"G1","H1975","DBL"
"O9","H1975","DBL"
"G23","H1975","SNG"
"D11","H2228","SNG"
"M2","H1975","DBL"
"M5","H1975","SNG"
"G13","HCC827","SNG"
"O10","H1975","SNG"
"A3","HCC827","SNG"
"P5","HCC827","SNG"
"J4","H1975","SNG"
"N16","H1975","DBL"
"C20","HCC827","DBL"
"H6","H1975","SNG"
"P13","H2228","DBL"
"G19","H1975","SNG"
"E16","HCC827","SNG"
"E6","HCC827","SNG"
"F21","HCC827","DBL"
"A1","H1975","SNG"
"G8","H2228","SNG"
"F24","H2228","SNG"
"K3","H1975","SNG"
"N23","H1975","SNG"
"P17","H1975","DBL"
"N17","HCC827","SNG"
"M1","H2228","DBL"
"L24","H1975","DBL"
"A14","HCC827","SNG"
"A4","H1975","SNG"
"F4","H1975","SNG"
"I21","HCC827","DBL"
"O11","HCC827","SNG"
"B23","HCC827","SNG"
"H4","H1975","SNG"
"E11","H1975","SNG"
"D14","H1975","SNG"
"J3","HCC827","DBL"
"K18","HCC827","SNG"
"B16","H1975","SNG"
"G12","HCC827","SNG"
"J5","HCC827","DBL"
"N2","H2228","SNG"
"F10","HCC827","SNG"
"N21","H2228","SNG"
"H2","H2228","SNG"
"B17","H2228","SNG"
"H16","H1975","DBL"
"G11","HCC827","SNG"
"F2","HCC827","DBL"
"M14","H1975","SNG"
"K6","HCC827","DBL"
"P4","H1975","SNG"
"F14","HCC827","SNG"
"F18","H1975","SNG"
"J9","H1975","SNG"
"F13","H2228","SNG"
"O7","H2228","SNG"
"E10","H2228","DBL"
"C6","H1975","SNG"
"I4","H2228","DBL"
"B21","H2228","SNG"
"J7","HCC827","SNG"
"A2","H2228","SNG"
"N10","H2228","SNG"
"D18","H2228","SNG"
"M22","HCC827","SNG"
"D17","H1975","SNG"
"P6","H1975","SNG"
"O24","H1975","SNG"
"A21","H2228","SNG"
"E7","H1975","DBL"
"H14","H1975","DBL"
"A5","H1975","SNG"
"B13","H1975","SNG"
"P21","HCC827","DBL"
"K5","H2228","DBL"
"J23","H1975","DBL"
"K20","HCC827","SNG"
"M3","H2228","DBL"
"O5","HCC827","SNG"
"B4","H2228","SNG"
"A23","H8383","DBL"
