unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_mt_percent non_ribo_percent outliers total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID
167234 8341 526950 40991 21392 0 22342 11237 266880 0.823984562319245 0.797096043274279 FALSE 10770 4.03225602589045 266379 5.42550161458347 23.2206743024037 34.7459822283288 47.8570007395478 62.4910372063864 10692 4.02909956682354 254444 5.40559392114075 95.5195417056149 22.8050180000314 34.0173083271761 46.7918284573423 61.478360660892 78 1.89762709129044 11935 4.07685881012859 4.48045829438507 99.5391705069124 100 22 1.36172783601759 11077 4.04446136081066 4.15836083174725 56 1.75587485567249 858 2.93399316383124 0.322097462637821 99.3006993006993 FALSE 3
171821 10047 513676 41809 23139 0 15065 11759 249152 0.823525398117473 0.787884472615734 FALSE 11155 4.04750850559401 248501 5.39532988838311 22.1459873400912 33.7737071480598 46.8175178369504 62.1502529164873 11074 4.04434373489511 240520 5.38115300081781 96.7883429040527 22.3058373524031 33.7464659903542 46.3649592549476 61.5994511890903 81 1.91381385238372 7981 3.902111723448 3.2116570959473 99.3735120912166 100 22 1.36172783601759 7192 3.85691006030079 2.89415334344731 59 1.77815125038364 789 2.89762709129044 0.31750375249999 98.8593155893536 FALSE 3
174510 8608 513021 42270 20170 0 20943 11203 251204 0.828955749079276 0.801714908929997 FALSE 10682 4.02869322839392 250649 5.39906770894907 23.0752965302076 34.4330119011047 47.4528124987532 62.1670144305383 10608 4.02567444941034 239871 5.37997955619963 95.6999628963212 22.7822454569331 33.668513492669 46.4349587903498 61.187471599318 74 1.8750612633917 10778 4.03257847192431 4.30003710367885 99.5546483577658 100 23 1.38021124171161 10014 4.0006509536296 3.99522838710707 51 1.7160033436348 764 2.88366143515362 0.30480871657178 99.869109947644 FALSE 3
158346 7796 504676 39684 18628 0 14021 11237 250040 0.839617661140633 0.816149383452672 FALSE 10785 4.03286041595214 249556 5.39716975620469 21.7233807241661 32.6291493692798 45.0820657487698 59.9644969465771 10707 4.02970836251489 241888 5.38361611909391 96.9273429610989 21.8754134144728 32.5935970366451 44.7078813335097 59.4779402037307 78 1.89762709129044 7668 3.88473873776963 3.07265703890109 99.2957746478873 100 26 1.43136376415899 6785 3.8316138553091 2.71882863966404 52 1.72427586960079 883 2.94645226501307 0.353828399237045 99.7734994337486 FALSE 3
159070 6968 486645 38252 20029 0 14100 10920 244441 0.838746364119 0.798577129099573 FALSE 10435 4.01853407042818 243926 5.38725987453276 22.6839287324844 34.9068979936538 48.8627698564319 63.4926166132352 10355 4.01519204176283 236095 5.37308862921069 96.789600124628 22.9882039009721 35.1074779220229 48.5046273745738 63.0144645164023 80 1.90848501887865 7831 3.89387267879508 3.21039987537204 99.3742817009322 100 22 1.36172783601759 7043 3.84781934729524 2.88735108188549 58 1.77085201164214 788 2.89707700320942 0.323048793486549 98.9847715736041 FALSE 3
144914 8610 465126 33435 21732 0 11855 11157 235288 0.817904015469641 0.788378464333988 FALSE 10651 4.0274311577669 234754 5.37061485098835 22.5657496783867 33.5010266065754 46.0426659396645 61.9269533213492 10578 4.02444461713135 227972 5.35788341434534 97.1110183426054 22.7663923639745 33.5387679188672 45.6788552980191 61.5057989577667 73 1.86923171973098 6782 3.83142181706502 2.88898165739455 99.5281627838396 100 20 1.32221929473392 6072 3.78340328112256 2.58653739659388 53 1.73239375982297 710 2.85186960072977 0.302444260800668 99.5774647887324 FALSE 3
151566 7854 462366 32460 17358 0 13978 11061 233424 0.84225272461948 0.796229145407964 FALSE 10611 4.02579724131029 232952 5.36726830772288 23.2541467770184 35.7438442254198 49.3337683299564 63.8221607884886 10530 4.02246961276777 225450 5.35305216598332 96.779594079467 23.4043025060989 35.8682634730539 48.9802616988246 63.3147039254824 81 1.91381385238372 7502 3.87523494645016 3.22040592053299 99.306851506265 100 25 1.41497334797082 6790 3.83193373046675 2.91476355644081 56 1.75587485567249 712 2.85308952985187 0.305642364092173 99.1573033707865 FALSE 3
149137 6321 459096 29215 18723 0 14776 10744 228662 0.83280999900146 0.790026292517939 FALSE 10332 4.01422642938923 228228 5.35837082737307 23.1062796852271 35.2165378481168 48.959373959374 63.7827085195506 10258 4.01110502981598 220629 5.34366456498823 96.6704348283296 23.1923273912314 35.2020813220384 48.4854665524478 63.2183439167109 74 1.8750612633917 7599 3.88081359228079 3.32956517167043 99.4736149493354 100 23 1.38021124171161 6986 3.84429074325434 3.06097411360569 51 1.7160033436348 613 2.78816837114117 0.268591058064742 99.836867862969 FALSE 3
142936 7756 453356 37640 17539 0 13969 10869 223177 0.84158313800967 0.818399708823055 FALSE 10430 4.01832594540292 222715 5.34775141803137 23.7671463529623 34.8463282670678 47.4988213636262 61.938351705094 10343 4.01468851187234 215192 5.33282814008535 96.6221404036549 23.8624112420536 34.741533142496 47.0105766013606 61.3703111639838 87 1.94448267215017 7523 3.87644878687834 3.3778595963451 99.2157384022332 100 27 1.44715803134222 6727 3.82788598278986 3.02045214736322 60 1.78532983501077 796 2.90145832139611 0.357407448981883 98.7437185929648 FALSE 3
146525 9286 441443 46646 16196 0 13008 11129 219001 0.848279231562948 0.821306714521545 FALSE 10662 4.02787940920721 218509 5.33947131702928 23.9926044236164 34.8704172368186 47.2044629740651 61.4725251591468 10582 4.02460879612656 211488 5.3252877837038 96.7868600378016 24.1356483582993 34.7376683310637 46.7525344227568 60.9221326978363 80 1.90848501887865 7021 3.84646082512933 3.21313996219835 99.0599629682382 100 22 1.36172783601759 6347 3.80263691808281 2.90468584818017 58 1.77085201164214 674 2.82930377283102 0.308454114018187 98.813056379822 FALSE 3
139020 9251 451521 35329 20164 0 8716 11166 222295 0.830936368301989 0.812375410496169 FALSE 10680 4.02861191506623 221771 5.34590671307955 21.5064187833396 31.6236117436455 43.7699248323721 59.3084758602342 10602 4.02542876140724 216683 5.33582684409208 97.7057415081323 21.93203896937 31.9429766063789 43.784699307283 59.1121592372267 78 1.89762709129044 5088 3.70663245087329 2.29425849186774 98.997641509434 100 21 1.34242268082221 4326 3.63618689519872 1.95066081678849 57 1.76342799356294 762 2.88252453795488 0.343597675079248 99.0813648293963 FALSE 3
150742 7339 446584 28380 18705 0 13443 10835 223310 0.833066141201332 0.790793032520127 FALSE 10424 4.0180760636458 222866 5.34804576709441 22.6041657318748 34.6943903511527 48.2339163443504 62.6120628539122 10344 4.01473049500175 215484 5.33341704413035 96.6876957454255 22.7965881457556 34.7881977316181 47.8230402257244 62.0691095394554 80 1.90848501887865 7382 3.86823286842246 3.3123042545745 99.2007586020049 100 25 1.41497334797082 6659 3.8234742291703 2.98789407087667 55 1.7481880270062 723 2.85973856619715 0.324410183697827 99.3084370677732 FALSE 3
144287 7817 449584 31656 17393 0 17635 10530 222211 0.843644103989287 0.814028071786362 FALSE 10017 4.0007810273535 221649 5.34566773563535 29.094198484992 40.553307256067 52.4920031220533 66.2209168550275 9939 3.99738638439731 212446 5.32725060272304 95.8479397606125 29.1998907957787 40.1584402624667 51.6310027018631 65.3803790139612 78 1.89762709129044 9203 3.96397660999661 4.1520602393875 99.4892969683799 100 25 1.41497334797082 8663 3.93771844361726 3.90843179982766 53 1.73239375982297 540 2.73319726510657 0.243628439559845 99.4444444444444 FALSE 3
144831 7171 441439 34913 18675 0 7355 10544 229189 0.840533358894165 0.800431050337012 FALSE 10114 4.00496588710682 228715 5.35929654706697 26.2601928163872 38.1658395820126 51.498152722821 66.1670638130424 10040 4.00177696707744 224345 5.35091833064015 98.0893251426448 26.7717132095656 38.7207203191513 51.7158840179188 66.1458913726626 74 1.8750612633917 4370 3.64058080648965 1.91067485735522 99.2677345537757 100 18 1.27875360095283 3770 3.57645653240562 1.64833963666572 56 1.75587485567249 600 2.77887447200274 0.262335220689504 99 FALSE 3
