unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RCA
279084 29186 420146 156504 13777 525 42862 8716 57136 0.998529823404066 0.846121534436061 0.85173955969274 7 0 2 NO NO 8460 3.92742169505042 56857 4.75479157916307 16.8352181789401 25.1947869215752 34.6694338427986 48.2526338005874 8385 3.92355485806755 53701 4.72999046023939 94.4492322845032 15.2306288523491 23.0815068620696 32.4053555799706 46.2039813038863 75 1.88081359228079 3156 3.49927458189222 5.55076771549677 98.9860583016476 100 12 1.11394335230684 84 1.92941892571429 0.147739064671017 21 1.34242268082221 2909 3.46389298898591 5.11634451342843 42 1.63346845557959 163 2.2148438480477 0.28668413739733 100 FALSE 1
424277 35804 775070 212743 24834 272 36414 10453 101061 0.999435984108663 0.85955017258294 0.855918617872511 0 0 9 NO YES 10123 4.00535213648622 100701 5.00303809597902 15.602625594582 23.8180355706497 33.590530382022 47.4394494592904 10040 4.00177696707744 97831 4.99048093198913 97.1499786496658 15.541086158784 23.5814823522196 33.0334965399515 46.7919166726293 83 1.92427928606188 2870 3.45803319249651 2.85002135033416 97.3519163763066 100 10 1.04139268515822 57 1.76342799356294 0.0566032114874728 26 1.43136376415899 2481 3.39480177716271 2.46372925790211 47 1.68124123737559 332 2.52244423350632 0.329688880944578 100 FALSE 1
407916 39191 694339 205413 23016 217 76229 10652 101769 0.999430081753832 0.837249063974565 0.864958792465408 0 0 9 NO YES 10325 4.0139321207112 101408 5.00607650013427 17.4936888608394 25.6025165667403 35.0159750710003 48.2397838434837 10235 4.01013027721515 95170 4.97850463264234 93.8486115493847 15.2653147000105 22.9526111169486 32.3358201113796 45.8610906798361 90 1.95904139232109 6238 3.79511498563036 6.15138845061534 98.6053222186598 100 11 1.07918124604762 58 1.77085201164214 0.0571946986431051 25 1.41497334797082 5835 3.76611528322141 5.75398390659514 54 1.74036268949424 345 2.53907609879278 0.340209845377091 98.8405797101449 FALSE 1
370354 36682 552039 193724 15894 431 58349 9381 76127 0.999119891628579 0.844706871301285 0.862059340042384 0 0 9 NO YES 9132 3.96061345764791 75854 4.87998421268823 17.6206923827353 26.0803649115406 35.8412212935376 49.2696495900018 9042 3.95631253084119 71008 4.85131339664339 93.6114113955757 15.4024898602974 23.4720031545741 33.0850045065345 46.8313429472735 90 1.95904139232109 4846 3.68547301972276 6.38858860442429 98.6174164259183 100 10 1.04139268515822 67 1.83250891270624 0.0883275766604266 29 1.47712125471966 4530 3.65619406217919 5.9719988398766 51 1.7160033436348 249 2.39794000867204 0.328262187887257 99.5983935742972 FALSE 1
256526 19587 492573 103410 16874 482 23864 8308 61081 0.998657520178344 0.853964407777547 0.846073108483308 0 0 9 NO YES 8102 3.90864583890711 60856 4.78431053961665 16.6573550677008 25.338504009465 35.6464440646773 49.9161956093072 8028 3.90466145791552 58719 4.76878604690801 96.4884317076377 16.4137672644289 24.8999472061854 34.7792026430968 49.0522658764625 74 1.8750612633917 2137 3.33000770087276 3.5115682923623 98.455779129621 100 11 1.07918124604762 82 1.91907809237607 0.13474431444722 22 1.36172783601759 1878 3.27392678010053 3.08597344551071 41 1.6232492903979 177 2.25042000230889 0.290850532404364 100 FALSE 1
364612 33860 602207 206371 18546 621 42036 9442 76557 0.998667659260594 0.857557114194971 0.85626384833995 0 0 9 NO YES 9164 3.96213246929824 76234 4.88215440463423 16.3326074979668 24.3920035679618 34.0753469580502 47.9943332371383 9087 3.95846831836694 73015 4.86341803752209 95.7774746176247 15.548859823324 23.2678216804766 32.7001301102513 46.7123193864274 77 1.89209460269048 3219 3.50785587169583 4.22252538237532 98.8816402609506 100 12 1.11394335230684 101 2.00860017176192 0.132486816905843 22 1.36172783601759 2876 3.45893986189033 3.77259490516043 43 1.64345267648619 242 2.38560627359831 0.317443660309048 100 FALSE 1
412173 40315 657411 238310 20198 499 87855 9710 77993 0.998858871821976 0.844037285289188 0.871372960217845 0 0 9 NO YES 9424 3.97428135887783 77689 4.89036512144812 17.4413366113607 25.3678126890551 35.2006075506185 48.772670519636 9332 3.97002126582837 72383 4.85964257890934 93.1702042760236 14.7161626348728 22.3975242805631 32.1498141828882 46.101985272785 92 1.96848294855394 5306 3.72484908762939 6.82979572397637 98.6807387862797 100 11 1.07918124604762 89 1.95424250943932 0.114559332724066 26 1.43136376415899 4949 3.69460519893357 6.37027120956635 55 1.7481880270062 268 2.42975228000241 0.344965181685953 98.134328358209 FALSE 1
267155 20329 241861 84213 7047 199 17142 7124 41033 0.998342797017439 0.849316403663072 0.853044902140983 0 0 9 NO YES 6995 3.84484980080664 40893 4.61165959265179 17.6851783923899 26.4813048688039 36.492798278434 50.6345829359548 6929 3.84073323461181 39187 4.59315309937685 95.8281368449368 17.0872993594815 25.5161150381504 35.2897644627045 49.5113175287723 66 1.82607480270083 1706 3.23223352111473 4.17186315506321 98.8862837045721 100 8 0.954242509439325 67 1.83250891270624 0.163842222385249 24 1.39794000867204 1505 3.17782497186468 3.68033648790747 34 1.54406804435028 134 2.13033376849501 0.327684444770499 100 FALSE 1
5754 303 3418 896 87 0 93 1381 2159 0.999999995368226 0.840666971557818 0.899486338645953 0 0 9 NO YES 1378 3.13956426617585 2156 3.33385014510255 20.7328385899814 29.0816326530612 40.0278293135436 59.2764378478664 1359 3.13353890837022 2057 3.31344537042641 95.4081632653061 19.4944093339815 27.6616431696646 38.6971317452601 58.2401555663588 19 1.30102999566398 99 2 4.59183673469388 100 100 0 0 0 0 0 11 1.07918124604762 89 1.95424250943932 4.12801484230056 8 0.954242509439325 10 1.04139268515822 0.463821892393321 100 FALSE 1
328793 31049 517290 175149 17234 221 49741 8679 64041 0.999250480005114 0.853703096320529 0.849955364539066 0 0 9 NO YES 8444 3.92659965390703 63786 4.8047321770982 17.3893957921801 25.9790549650393 36.1646756341517 49.9686451572445 8362 3.92236209678479 60191 4.77953877387028 94.3639670147054 15.6983602199664 23.9902975527903 33.9917927929425 48.0370819557741 82 1.91907809237607 3595 3.55581968306119 5.63603298529458 98.4979137691238 100 8 0.954242509439325 47 1.68124123737559 0.0736838804753394 24 1.39794000867204 3318 3.5210072524086 5.20176841313141 50 1.70757017609794 230 2.36361197989214 0.360580691687831 100 FALSE 1
299616 23194 533975 112277 17614 324 52058 9033 73305 0.999290634881756 0.837910101515871 0.850337514448194 0 0 9 NO YES 8833 3.94615739492237 73078 4.86379259591294 18.0108924710583 26.6386600618517 36.8701934918854 50.8566189550891 8752 3.94215692846749 69042 4.83911965372597 94.4771340211828 16.3958170389039 24.6473161264158 34.735378465282 48.9484661510385 81 1.91381385238372 4036 3.60605874941031 5.52286597881715 98.6620416253717 100 12 1.11394335230684 52 1.72427586960079 0.0711568461096363 27 1.44715803134222 3776 3.57714698482752 5.16708174826897 42 1.63346845557959 208 2.32014628611105 0.284627384438545 100 FALSE 1
159998 14461 284114 73634 11037 425 43465 7211 41081 0.998442101945317 0.823397677558142 0.85058765595101 7 2 0 NO NO 7091 3.85076872692888 40945 4.612211482097 21.2919770423739 29.8766638173159 38.9888875320552 52.5485407253633 7018 3.84627524241221 37594 4.57513008916165 91.8158505312004 17.8273128690749 26.0280895887642 35.2157259137096 49.3961802415279 73 1.86923171973098 3351 3.52530400995824 8.18414946879961 99.3136377200836 100 13 1.14612803567824 64 1.81291335664286 0.156307241421419 24 1.39794000867204 3177 3.50215389287136 7.75918915618513 36 1.56820172406699 110 2.04532297878666 0.268653071193064 100 FALSE 1
468306 39553 817478 253274 27230 547 52263 10469 100991 0.998970205166899 0.857086274929738 0.856462372244817 0 0 9 NO YES 10126 4.0054808099794 100601 5.00260661471921 16.1390045824594 24.435144779873 34.4420035586127 48.0959433802845 10036 4.0016039241498 96695 4.98540850909998 96.1173348177453 15.5861213092714 23.6072185738663 33.2995501318579 46.9827809090439 90 1.95904139232109 3906 3.59184341122478 3.88266518225465 97.6702508960573 100 15 1.20411998265592 104 2.02118929906994 0.103378694048767 24 1.39794000867204 3471 3.54057971650445 3.4502639138776 51 1.7160033436348 331 2.52113808370404 0.329022574328287 99.6978851963746 FALSE 1
349354 30190 588704 190891 18094 353 52459 9254 73704 0.998968848230901 0.847362422548659 0.860794412678496 0 0 9 NO YES 9005 3.95453194262691 73427 4.86586169924427 17.0155392430577 25.2536532882999 35.3194329061517 49.1971618069647 8917 3.95026746801359 69703 4.84325770102602 94.9282961308511 15.6420814025221 23.5499189417959 33.46053971852 47.5173235011406 88 1.94939000664491 3724 3.57112627708431 5.07170386914895 98.4425349087003 100 10 1.04139268515822 76 1.88649072517248 0.103504160594877 25 1.41497334797082 3396 3.53109554687003 4.62500170237106 53 1.73239375982297 252 2.40312052117582 0.343198006183012 98.8095238095238 FALSE 1
9265 398 6552 2670 154 2 300 1592 2739 0.999269802850421 0.810514783459238 0.888642246651162 0 0 9 NO YES 1588 3.20112389720738 2735 3.43711609304808 22.7787934186472 31.1151736745887 42.0109689213894 60.2193784277879 1557 3.19256745333655 2476 3.39392600658584 90.5301645338208 18.0129240710824 26.6155088852989 37.7625201938611 57.3101777059774 31 1.50514997831991 259 2.41497334797082 9.46983546617916 100 100 2 0.477121254719662 2 0.477121254719662 0.0731261425959781 17 1.25527250510331 244 2.38916608436453 8.92138939670932 12 1.11394335230684 13 1.14612803567824 0.475319926873857 100 FALSE 1
1467 20 336 496 7 0 20 163 201 0.999999950248759 0.835820853939261 0.905427590667131 NA NA NA NO NO 163 2.2148438480477 201 2.30535136944662 43.7810945273632 68.6567164179104 100 100 153 2.18752072083646 182 2.26245108973043 90.547263681592 43.4065934065934 70.8791208791209 100 100 10 1.04139268515822 19 1.30102999566398 9.45273631840796 100 100 0 0 0 0 0 10 1.04139268515822 19 1.30102999566398 9.45273631840796 0 0 0 0 0 NA FALSE 1
