unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_mt_percent non_ribo_percent outliers total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID
101619 5913 254630 64711 6942 0 7566 9284 74261 0.848022515068741 0.895463177783335 FALSE 8606 3.93485180296566 73523 4.86642912637958 15.4672687458346 21.8312636861934 30.4897787087034 44.9043156563252 8538 3.93140701355657 70758 4.84978168662391 96.239272064524 14.2881370304418 20.5785918200062 29.2701885299189 43.7731422595325 68 1.83884909073726 2765 3.44185217577329 3.76072793547597 99.1681735985533 19 1.30102999566398 2354 3.37199091146491 3.20171918991336 49 1.69897000433602 411 2.61489721603313 0.559008745562613 100 FALSE 1
95759 10881 234950 86606 5960 0 7864 9255 68421 0.857982198322447 0.899124406377515 FALSE 8591 3.93409426835548 67673 4.83042184704039 17.6510572902044 24.147001019609 32.7028504721233 46.1247469448672 8522 3.9305924884426 64797 4.81156160151306 95.7501514636561 16.337176103832 22.7201876630091 31.1557633841073 44.7536151365032 69 1.84509804001426 2876 3.45893986189033 4.24984853634389 98.9221140472879 19 1.30102999566398 2521 3.40174508223706 3.72526709322773 50 1.70757017609794 355 2.55144999797288 0.524581443116162 100 FALSE 1
92448 6336 251846 29568 6869 0 7975 9650 80134 0.839780866942898 0.893578144910008 FALSE 9000 3.95429076170113 79430 4.89999003015292 15.0824625456377 21.6077048973939 30.4507113181418 44.5599899282387 8928 3.95080282296466 76518 4.88376928574993 96.3338788870704 14.0319924723594 20.508899866698 29.2048929663609 43.4198489244361 72 1.86332286012046 2912 3.46434048462767 3.66612111292962 98.5233516483516 19 1.30102999566398 2563 3.40891802084678 3.22674052624953 53 1.73239375982297 349 2.54406804435028 0.439380586680096 99.1404011461318 FALSE 1
92454 6197 235800 27495 6058 0 4888 9257 74611 0.852179973348142 0.883435299964442 FALSE 8685 3.93881982502621 73978 4.86910845650875 16.3508069966747 23.482657006137 32.3041985455135 46.7368677174295 8616 3.93535609294557 71940 4.85697647033909 97.2451269296277 15.8798999165972 22.9969418960245 31.768140116764 46.2121212121212 69 1.84509804001426 2038 3.30941722577814 2.75487307037227 98.7733071638862 21 1.34242268082221 1655 3.21906033244886 2.23715158560653 48 1.69019608002851 383 2.58433122436753 0.517721484765741 100 FALSE 1
74750 6194 218966 29425 5872 0 6211 9125 66161 0.839104608328304 0.898157389072507 FALSE 8578 3.93343666782628 65570 4.8167118069877 15.151746225408 21.4274820802196 29.783437547659 44.0430074729297 8508 3.92987852365678 63252 4.80108112830712 96.4648467286869 14.0375007904888 20.2412571934484 28.5682666160754 42.934610763296 70 1.85125834871908 2318 3.36530074863799 3.5351532713131 98.8352027610009 19 1.30102999566398 1998 3.30081279411812 3.04712520969956 51 1.7160033436348 320 2.50650503240487 0.488028061613543 99.6875 FALSE 1
69664 6737 178243 62729 4301 0 9663 8304 52576 0.845766128871393 0.910757586967897 FALSE 7841 3.89442683796419 52084 4.71671266849752 17.3085784501958 23.9094539589893 32.4821442285539 46.3693264726212 7778 3.89092377148901 48778 4.68823289276054 93.652561247216 14.5618926565255 20.962319078273 29.5994095698881 43.8394358112264 63 1.80617997398389 3306 3.5194341949137 6.34743875278396 99.5160314579552 20 1.32221929473392 2999 3.47712125471966 5.75800629751939 43 1.64345267648619 307 2.48855071650044 0.589432455264573 100 FALSE 1
71031 4705 205003 33545 6145 0 7379 8976 61860 0.827610733781505 0.885531702953168 FALSE 8414 3.92505412031184 61245 4.78707773002181 14.5122050779655 21.2327536941791 29.8310066127847 43.9399134623235 8347 3.92158244039342 58532 4.76740078364018 95.5702506327047 13.0356044556824 19.5670744208296 28.1128271714618 42.4263650652634 67 1.83250891270624 2713 3.43360984332372 4.42974936729529 99.1153704386288 19 1.30102999566398 2371 3.37511468469223 3.8713364356274 48 1.69019608002851 342 2.53529412004277 0.558412931667891 100 FALSE 1
65417 6865 176749 67261 4262 0 6286 8549 52054 0.860029968713254 0.922080738832609 FALSE 8081 3.90751884610663 51548 4.7122202448146 15.5059362147901 22.0997904865368 30.3503530689842 44.2344998836036 8015 3.90395770852317 49217 4.69212396193462 95.4780010863661 13.9504642704756 20.3385009244773 28.553142206961 42.613324664242 66 1.82607480270083 2331 3.36772854608698 4.52199891363389 99.3135993135993 20 1.32221929473392 2039 3.3096301674259 3.95553658725848 46 1.67209785793572 292 2.46686762035411 0.566462326375417 100 FALSE 1
68752 5930 166145 73059 4459 0 5780 8994 55003 0.841645001028736 0.908695724106735 FALSE 8472 3.92803720640688 54446 4.73597395536197 14.4675458252213 20.8298130257503 29.0728428167359 42.7230650552841 8405 3.92458938566942 52178 4.7174957516779 95.8344047312934 12.9997316876845 19.2149948254053 27.4042699988501 41.2530185135498 67 1.83250891270624 2268 3.35583449588494 4.16559526870661 98.9417989417989 19 1.30102999566398 1994 3.29994290002277 3.66234434118209 48 1.69019608002851 274 2.43933269383026 0.50325092752452 100 FALSE 1
74259 5722 185778 42614 4580 0 10988 8541 59293 0.840402745544937 0.890897594842967 FALSE 8025 3.90449915539782 58732 4.76888218456798 17.2308111421372 24.6100933051829 33.3174419396581 47.177007423551 7959 3.90091306773767 55091 4.74108853881365 93.8006538173398 14.5123522898477 21.6786770978926 30.3860884718012 44.6933255885716 66 1.82607480270083 3641 3.5613399414589 6.19934618266022 99.4507003570448 19 1.30102999566398 3374 3.52827377716704 5.74473881359395 47 1.68124123737559 267 2.42813479402879 0.454607369066267 100 FALSE 1
