unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID2
71144 7532 109595 51836 3370 174 12772 2665 6928 0.999133947749518 0.861864894829872 0.873266637894576 FALSE 7 0 2 NO NO 2475 3.39375064034808 6723 3.82762770476743 17.745054291239 26.0449204224305 37.022162724974 55.8976647330061 2447 3.38881141347352 6371 3.80427576712909 94.7642421538004 15.9158687804112 24.0307644011929 35.1122272798619 54.4341547637733 28 1.46239799789896 352 2.54777470538782 5.23575784619961 100 3 0.602059991327962 6 0.845098040014257 0.0892458723784025 17 1.25527250510331 334 2.52504480703685 4.96802022906441 8 0.954242509439325 12 1.11394335230684 0.178491744756805 100 FALSE 3
104986 7306 217332 67897 6680 18 12179 3788 12128 0.999587730046514 0.866589709047997 0.881265764127833 FALSE 0 0 9 NO YES 3509 3.54530711646582 11816 4.0725072355288 16.3591740013541 24.272173324306 34.37711577522 51.8957345971564 3470 3.54045461367141 11443 4.05857784913322 96.8432633716994 15.9486148737219 23.656383815433 33.6887179935332 51.2715197063707 39 1.60205999132796 373 2.57287160220048 3.15673662830061 100 3 0.602059991327962 5 0.778151250383644 0.0423155044008125 18 1.27875360095283 327 2.51587384371168 2.76743398781313 18 1.27875360095283 41 1.6232492903979 0.346987136086662 100 FALSE 1
87975 6761 164573 64309 4911 26 16819 3595 11037 0.999546977439932 0.839539729238435 0.88484109373825 FALSE 0 0 9 NO YES 3351 3.52530400995824 10757 4.03173153994583 19.1689132657804 26.8662266431161 36.4227944594218 53.500046481361 3313 3.52035250408332 10047 4.00207962639312 93.3996467416566 16.4029063402011 23.8777744600378 33.502538071066 51.3685677316612 38 1.5910646070265 710 2.85186960072977 6.6003532583434 100 3 0.602059991327962 5 0.778151250383644 0.0464813609742493 19 1.30102999566398 672 2.82801506422398 6.24709491493911 16 1.23044892137827 33 1.53147891704226 0.306776982430046 100 FALSE 1
83757 7960 142790 55454 3387 145 14164 2915 8668 0.998384862715292 0.843793261601531 0.883016978522175 FALSE 0 0 9 NO YES 2709 3.43296929087441 8439 3.92634244662566 18.6870482284631 27.3018130110203 38.0969309159853 56.701030927835 2678 3.42797271360821 7891 3.89718707658015 93.5063396136983 16.195665948549 24.5342795589913 35.5214801672792 54.809276390825 31 1.50514997831991 548 2.73957234445009 6.49366038630169 100 3 0.602059991327962 14 1.17609125905568 0.165896433226686 15 1.20411998265592 510 2.70842090013471 6.04337006754355 13 1.14612803567824 24 1.39794000867204 0.284393885531461 100 FALSE 1
71815 4875 139255 36434 5412 219 6004 2677 7696 0.998180871883861 0.865124739000618 0.862524866781618 FALSE 0 0 9 NO YES 2490 3.39637372753651 7481 3.87401770386219 17.2035824087689 26.0125651650849 37.347948135276 56.9041571982355 2464 3.39181692361325 7256 3.86075712308154 96.9923806977677 17.1857772877619 25.8406835722161 36.9900771775083 56.6427783902977 26 1.43136376415899 225 2.3541084391474 3.00761930223232 100 5 0.778151250383644 14 1.17609125905568 0.187140756583344 13 1.14612803567824 197 2.29666519026153 2.63333778906563 8 0.954242509439325 14 1.17609125905568 0.187140756583344 100 FALSE 1
99466 8972 175131 83558 4102 226 12873 3242 9735 0.99835644478854 0.868926552779737 0.876116203270464 FALSE 0 0 9 NO YES 3013 3.47914324797861 9454 3.97566153318106 16.5961497778718 24.3177491009097 34.588533953882 53.7021366617305 2986 3.47523522260413 9092 3.95870719108728 96.1709329384388 15.7831060272767 23.2182138143423 33.4029916410031 52.7276726792785 27 1.44715803134222 362 2.55990662503611 3.82906706156124 100 3 0.602059991327962 15 1.20411998265592 0.158662999788449 13 1.14612803567824 325 2.51321760006794 3.43769832874974 11 1.07918124604762 22 1.36172783601759 0.232705733023059 100 FALSE 1
103785 8676 195598 78529 6203 74 27291 3358 9913 0.999092100273286 0.860385351699399 0.884595092711497 FALSE 0 0 9 NO YES 3115 3.49359744900053 9632 3.98376156028616 18.843438538206 26.6922757475083 37.0639534883721 54.516196013289 3079 3.48855071650044 8978 3.95322797155985 93.2101328903654 15.9835152595233 23.5687235464469 34.161283136556 52.2722209846291 36 1.56820172406699 654 2.81624129999178 6.78986710963455 100 6 0.845098040014257 9 1 0.0934385382059801 15 1.20411998265592 606 2.78318869107526 6.29152823920266 15 1.20411998265592 39 1.60205999132796 0.404900332225914 100 FALSE 1
54099 4470 59628 25659 1601 12 6373 1936 4397 0.999317714352245 0.864453034195013 0.869454470196793 FALSE 0 0 9 NO YES 1832 3.26316246496222 4283 3.63184946215982 19.0053700677095 28.1111370534672 39.9252860144758 61.3121643707682 1814 3.25887662937213 4119 3.61489721603313 96.1709082418865 18.4996358339403 27.1182325807235 38.8686574411265 60.5243991260015 18 1.27875360095283 164 2.21748394421391 3.82909175811347 100 1 0.301029995663981 3 0.602059991327962 0.070044361428905 12 1.11394335230684 154 2.19033169817029 3.59561055335046 5 0.778151250383644 7 0.903089986991944 0.163436843334112 100 FALSE 1
90264 7811 155547 63609 5375 75 12235 2914 8278 0.998912779658235 0.850567768965248 0.874606336547069 FALSE 0 0 9 NO YES 2693 3.43039759138697 8032 3.9048777669634 18.0527888446215 26.3695219123506 37.0393426294821 55.4407370517928 2659 3.42488163663107 7570 3.87915324618425 94.2480079681275 16.3011889035667 24.4253632760898 35.1254953764861 54.0951122853369 34 1.54406804435028 462 2.66558099101795 5.75199203187251 100 3 0.602059991327962 9 1 0.112051792828685 17 1.25527250510331 415 2.61909333062674 5.16683266932271 14 1.17609125905568 38 1.5910646070265 0.473107569721116 100 FALSE 1
73113 3827 140404 34123 4748 28 14896 2882 8671 0.999192710184301 0.856994578644915 0.874407940943443 FALSE 0 0 9 NO YES 2716 3.43408963841789 8493 3.92911225665466 18.34451901566 27.0929000353232 38.6200400329683 56.9763334510774 2677 3.42781057267599 8039 3.90525604874845 94.6544212881196 16.5816643861177 25.1897002114691 36.7956213459385 55.6536882696853 39 1.60205999132796 454 2.65801139665711 5.34557871188037 100 6 0.845098040014257 7 0.903089986991944 0.08242081714353 17 1.25527250510331 419 2.6232492903979 4.93347462616272 16 1.23044892137827 28 1.46239799789896 0.32968326857412 100 FALSE 1
