unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID2
74310 8611 120306 39799 4097 172 7878 3805 13256 0.997435122965121 0.857800240753017 0.836149037304589 FALSE 7 0 2 NO NO 3636 3.56074330105471 13064 4.11610941406334 18.0802204531537 27.227495407226 37.8214941824862 54.3860992039192 3593 3.55557807277295 12435 4.09468071337115 95.1852418860992 17.3059911540008 26.1680739847205 36.4374748693205 53.1966224366707 43 1.64345267648619 629 2.79934054945358 4.8147581139008 100 100 8 0.954242509439325 34 1.54406804435028 0.260257195345989 16 1.23044892137827 549 2.74036268949424 4.20238824249847 19 1.30102999566398 46 1.67209785793572 0.352112676056338 100 FALSE 1
115281 11373 217800 57740 7997 82 8116 5158 23033 0.999522423913723 0.858984934286031 0.846654432052085 FALSE 0 0 9 NO YES 4914 3.69152352216815 22753 4.35705775375034 16.5956137652178 24.9373708961456 35.2480991517602 50.7010064606865 4867 3.68735056955803 22170 4.34578528195921 97.437700523008 16.5358592692828 24.871447902571 34.9120433017591 50.320252593595 47 1.68124123737559 583 2.7664128471124 2.56229947699204 100 100 4 0.698970004336019 11 1.07918124604762 0.0483452731507933 21 1.34242268082221 514 2.71180722904119 2.25904276359161 22 1.36172783601759 58 1.77085201164214 0.254911440249637 100 FALSE 2
106195 10915 187128 53740 7146 44 16785 5260 23505 0.999489469900238 0.841863432953898 0.861901356349136 FALSE 0 0 9 NO YES 5026 3.70130888522808 23237 4.36619874736973 18.2424581486423 26.573998364677 36.4763093342514 51.5126737530662 4977 3.69705489227257 21945 4.34135537486371 94.4399018806214 16.473000683527 24.4565960355434 34.1991341991342 49.6240601503759 49 1.69897000433602 1292 3.11159852488039 5.56009811937858 100 100 7 0.903089986991944 12 1.11394335230684 0.0516417781985626 21 1.34242268082221 1222 3.08742645703629 5.25885441322029 21 1.34242268082221 58 1.77085201164214 0.249601927959719 100 FALSE 3
106676 11416 157528 52669 4626 65 16533 4390 17525 0.999372324679388 0.849985734179751 0.859742733385031 FALSE 0 0 9 NO YES 4205 3.6238692683503 17300 4.23807120613056 18.9826589595376 27.5202312138728 37.9132947976879 53.9132947976879 4151 3.6182573448404 16196 4.20943458219091 93.6184971098266 16.9424549271425 25.012348728081 35.4346752284515 51.8584835761917 54 1.74036268949424 1104 3.04336227802113 6.38150289017341 99.6376811594203 100 5 0.778151250383644 11 1.07918124604762 0.0635838150289017 24 1.39794000867204 1031 3.01367969729119 5.95953757225434 25 1.41497334797082 62 1.79934054945358 0.358381502890173 100 FALSE 3
67557 6190 143264 26970 4727 51 6402 3723 14198 0.99908437737774 0.854556979254432 0.836455249714573 FALSE 0 0 9 NO YES 3550 3.55035067230162 14004 4.14628311315959 17.4592973436161 26.7423593259069 37.7606398171951 54.6486718080548 3505 3.54481191175778 13557 4.13219562957342 96.8080548414739 17.3489710112857 26.5619237294387 37.2722578741609 54.2671682525632 45 1.66275783168157 447 2.65127801399814 3.19194515852614 100 100 5 0.778151250383644 13 1.14612803567824 0.0928306198229077 17 1.25527250510331 384 2.5854607295085 2.74207369323051 23 1.38021124171161 50 1.70757017609794 0.357040845472722 100 FALSE 3
99002 10143 171432 48897 5619 175 9857 4456 18058 0.99867094861077 0.859231365123917 0.851367343356217 FALSE 0 0 9 NO YES 4235 3.62695595143545 17801 4.25046879670049 16.8586034492444 25.5659794393573 35.7339475310376 51.9858434919387 4190 3.62231766083384 17103 4.2330976878647 96.0788719734846 16.3597029760861 24.7968192714728 34.7482897737239 51.1372273870081 45 1.66275783168157 698 2.84447717574568 3.92112802651536 100 100 7 0.903089986991944 24 1.39794000867204 0.134823886298523 20 1.32221929473392 609 2.78532983501077 3.42115611482501 18 1.27875360095283 65 1.81954393554187 0.365148025391832 100 FALSE 3
113472 13106 183631 65326 5328 177 19356 4580 17905 0.998156938844928 0.843674950659774 0.867466703453391 FALSE 0 0 9 NO YES 4346 3.63818964019084 17628 4.24622767776731 17.9941002949853 26.2196505559337 36.8845019287497 53.0349444066258 4294 3.63296316816726 16487 4.21716797877116 93.527342863626 15.6486929095651 23.7763086067811 34.3664705525566 51.0098865773033 52 1.72427586960079 1141 3.05766610390983 6.47265713637395 99.8247151621385 100 9 1 33 1.53147891704226 0.187202178352621 21 1.34242268082221 1058 3.02489596010748 6.00181529385069 22 1.36172783601759 50 1.70757017609794 0.283639664170638 100 FALSE 3
83903 5891 70065 24545 2179 80 3468 2989 10002 0.997300538894921 0.849730053139642 0.850928963278381 FALSE 0 0 9 NO YES 2869 3.45788189673399 9853 3.99361255793889 19.2834669643763 28.7932609357556 39.774687912311 58.0127879833553 2830 3.4519398693651 9434 3.97474190450095 95.7474880746981 18.8785244859021 28.1004875980496 38.8700445198219 57.3669705321179 39 1.60205999132796 419 2.6232492903979 4.25251192530194 100 100 5 0.778151250383644 27 1.44715803134222 0.274028214756927 20 1.32221929473392 353 2.54900326202579 3.58266517811834 14 1.17609125905568 39 1.60205999132796 0.395818532426672 100 FALSE 3
91242 9220 145260 43957 5267 26 14556 3927 15051 0.999734236263548 0.857949637327786 0.841405327615888 FALSE 0 0 9 NO YES 3749 3.57403126772772 14839 4.17143390094301 17.7505222723903 27.0907743109374 38.2775119617225 54.9363164633735 3707 3.56913972547246 14062 4.14807797676251 94.7637980996024 16.4059166548144 25.54401934291 36.4528516569478 53.44190015645 42 1.63346845557959 777 2.89097959698969 5.2362019003976 100 100 2 0.477121254719662 3 0.602059991327962 0.0202169957544309 20 1.32221929473392 733 2.86569605991607 4.93968596266595 20 1.32221929473392 41 1.6232492903979 0.276298941977222 100 FALSE 3
81135 7956 151406 31251 5754 172 12703 4188 17052 0.998885760615244 0.837321134859652 0.838552170682518 FALSE 0 0 9 NO YES 4032 3.60562822200762 16871 4.22716656673143 18.8785489893901 28.3444964732381 38.6699069409045 54.3121332463991 3988 3.60086403630984 15961 4.20308730647245 94.6061288601743 17.4111897750767 26.5020988659858 36.6518388572145 52.6470772507988 44 1.65321251377534 910 2.959518376973 5.39387113982574 100 100 7 0.903089986991944 18 1.27875360095283 0.106691956611938 20 1.32221929473392 861 2.93550726582471 5.10343192460435 17 1.25527250510331 31 1.50514997831991 0.183747258609448 100 FALSE 3
46359 4249 84989 19288 3960 44 12445 2878 9527 0.998845385746987 0.827542772302359 0.845910731698613 FALSE 7 2 0 NO NO 2803 3.44777800929462 9432 3.97464983443872 23.2824427480916 31.8172179813401 42.2391857506361 59.5631891433418 2767 3.44216608578472 8627 3.93591013643051 91.4652247667515 19.6360264286542 27.9123681465167 38.6345195317028 56.9722962791237 36 1.56820172406699 805 2.90633504180509 8.53477523324852 100 100 5 0.778151250383644 11 1.07918124604762 0.116624257845632 19 1.30102999566398 766 2.88479536394898 8.12128922815946 12 1.11394335230684 28 1.46239799789896 0.296861747243427 100 FALSE 1
130353 11604 227144 66212 8572 156 10447 5299 23515 0.99897937444228 0.858770996870606 0.847118500055922 FALSE 0 0 9 NO YES 5018 3.70061719568206 23171 4.36496351982702 16.4559147209874 25.0917094644167 35.5919036726943 51.2709852833283 4966 3.69609415999522 22380 4.34987948723163 96.5862500539467 16.0723860589812 24.5531724754245 34.798927613941 50.5451295799821 52 1.72427586960079 791 2.89872518158949 3.41374994605326 99.7471554993679 100 8 0.954242509439325 24 1.39794000867204 0.103577748047128 19 1.30102999566398 703 2.84757265914211 3.03396486988045 25 1.41497334797082 64 1.81291335664286 0.276207328125674 100 FALSE 3
95982 9383 169987 50485 5558 39 14507 4407 17410 0.999310740379488 0.849626650861788 0.856863379170948 FALSE 0 0 9 NO YES 4198 3.62314587463794 17168 4.23474500062805 17.1540074557316 25.9086672879776 36.4981360671016 52.7551258154706 4146 3.61773403536402 16325 4.2128797921634 95.0897017707363 16.0796324655436 24.5022970903522 34.9464012251149 51.509954058193 52 1.72427586960079 843 2.92634244662566 4.91029822926375 99.7627520759193 100 4 0.698970004336019 12 1.11394335230684 0.0698974836905871 22 1.36172783601759 762 2.88252453795488 4.43849021435228 26 1.43136376415899 69 1.84509804001426 0.401910531220876 100 FALSE 3
108309 10064 176101 59740 4398 97 17205 4417 17338 0.998731110278734 0.857653708122244 0.856672709267096 FALSE 0 0 9 NO YES 4168 3.6200318951263 17053 4.23182625864728 18.2079399519146 27.0685509880959 37.4538204421509 53.6562481674779 4120 3.61500261452459 16135 4.20779588520471 94.6167829707383 16.7462039045553 25.2990393554385 35.5376510691044 52.1599008366904 48 1.69019608002851 918 2.96331551138611 5.38321702926171 100 100 8 0.954242509439325 22 1.36172783601759 0.129009558435466 20 1.32221929473392 844 2.92685670894969 4.94927578725151 20 1.32221929473392 52 1.72427586960079 0.304931683574738 100 FALSE 3
112991 12532 190510 67154 7078 82 19076 5072 22256 0.999101365474883 0.843637670361414 0.868439581039009 FALSE 0 0 9 NO YES 4856 3.68636810347304 22010 4.34263977379444 18.1099500227169 26.2925942753294 36.1880963198546 51.2812358019082 4797 3.68106024363181 20593 4.31374070840577 93.5620172648796 15.7626377895401 23.634244646239 33.4919632884961 49.0749283737192 59 1.77815125038364 1417 3.15167623084705 6.4379827351204 99.3648553281581 100 9 1 20 1.32221929473392 0.0908677873693776 21 1.34242268082221 1313 3.11859536522376 5.96547024079964 29 1.47712125471966 84 1.92941892571429 0.381644706951386 100 FALSE 3
93946 8237 150142 37719 4167 36 6623 4574 17878 0.999552522094444 0.863966886193105 0.855688077140577 FALSE 0 0 9 NO YES 4388 3.64236558084497 17677 4.24743312956304 16.1961871358262 24.5120778412627 34.6552016744923 50.9588731119534 4345 3.63808972198451 17128 4.23373200936605 96.8942693896023 15.9621672115834 24.1943017281644 34.0028024287716 50.3269500233536 43 1.64345267648619 549 2.74036268949424 3.10573061039769 100 100 4 0.698970004336019 8 0.954242509439325 0.045256548056797 19 1.30102999566398 488 2.68930885912362 2.76064943146462 20 1.32221929473392 53 1.73239375982297 0.29982463087628 100 FALSE 3
91217 9104 167315 40063 4709 69 2603 4597 18249 0.999506821743927 0.865636472757063 0.853690145383229 FALSE 0 0 9 NO YES 4371 3.64068015327767 17990 4.25505530355744 15.5252918287938 24.1634241245136 34.6247915508616 50.7059477487493 4323 3.63588568528127 17645 4.24664627489071 98.0822679266259 15.5794842731652 24.2618305468971 34.7577217342023 50.7849249079059 48 1.69019608002851 345 2.53907609879278 1.9177320733741 100 100 3 0.602059991327962 9 1 0.0500277932184547 16 1.23044892137827 244 2.38916608436453 1.35630906058922 29 1.47712125471966 92 1.96848294855394 0.511395219566426 100 FALSE 2
