unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control Seurat
69719 7462 103232 34027 3299 70 13815 4063 14146 0.999081011594033 0.844196238622794 0.8514768475351 FALSE 7 0 2 NO NO 3892 3.59028440371816 13958 4.14485430725293 17.3663848688924 25.9994268519845 36.7029660409801 53.2382862874337 3854 3.58602438238698 13121 4.11800003342128 94.0034388880928 15.4104107918604 23.7558112948708 34.3266519320174 51.3070650102889 38 1.5910646070265 837 2.92324401863028 5.99656111190715 100 100 5 0.778151250383644 13 1.14612803567824 0.0931365525146869 19 1.30102999566398 790 2.89817648349768 5.65983665281559 14 1.17609125905568 34 1.54406804435028 0.243587906576873 100 FALSE 2
105232 9057 178046 44986 4706 96 10063 5525 25196 0.999404667010873 0.863232258746137 0.848070785810928 FALSE 0 0 9 NO YES 5219 3.71767050300226 24846 4.39527395998698 16.7069145938984 25.4205908395718 35.905175883442 51.3523303549867 5163 3.71298623359438 24092 4.38189088062626 96.9653062867262 16.6901876141458 25.2988543914993 35.5014112568487 50.8384525983729 56 1.75587485567249 754 2.87794695162919 3.03469371327377 99.2042440318302 100 7 0.903089986991944 15 1.20411998265592 0.0603718908476213 19 1.30102999566398 648 2.81224469680037 2.60806568461724 30 1.49136169383427 91 1.96378782734556 0.366256137808903 100 FALSE 1
110702 12235 183190 46717 5805 73 23594 5646 26374 0.999355425419218 0.846932584800587 0.857397111777845 FALSE 0 0 9 NO YES 5366 3.72973159528704 26048 4.41579105574234 18.4505528255528 26.8273955773956 36.8166461916462 51.6891891891892 5307 3.7249309141924 24511 4.38937874795251 94.099355036855 16.6537472971319 24.6460772714292 34.5640732732243 49.7246134388642 59 1.77815125038364 1537 3.18695633546541 5.90064496314496 99.4144437215355 100 4 0.698970004336019 17 1.25527250510331 0.0652641277641278 22 1.36172783601759 1430 3.15563963375978 5.48986486486486 33 1.53147891704226 90 1.95904139232109 0.34551597051597 100 FALSE 1
90472 9346 130297 45423 3980 155 15229 4628 18716 0.999412267044554 0.843502884781202 0.857608005125024 FALSE 0 0 9 NO YES 4415 3.64502906472114 18477 4.26665496277322 18.1306489148671 27.0606700221897 37.3978459706662 53.2986956757049 4364 3.63998424804159 17299 4.2380461031288 93.6245061427721 16.0298283137754 24.5621134169605 34.6783051043413 51.0838776807908 51 1.7160033436348 1178 3.07151380509509 6.37549385722791 99.9151103565365 100 6 0.845098040014257 11 1.07918124604762 0.0595334740488174 21 1.34242268082221 1125 3.05153839051533 6.08865075499269 24 1.39794000867204 42 1.63346845557959 0.227309628186394 100 FALSE 1
61628 4796 114757 20680 3880 80 7036 3922 15239 0.998950061684526 0.856158540024832 0.849989599061881 FALSE 0 0 9 NO YES 3746 3.5736836930938 15039 4.17724783625562 17.7139437462597 26.5775649976727 37.2298690072478 54.2256798989294 3704 3.56878821231535 14496 4.16127813890771 96.3893875922601 17.4254966887417 25.9795805739514 36.4652317880795 53.4837196467991 42 1.63346845557959 543 2.73559889969818 3.61061240773988 100 100 6 0.845098040014257 16 1.23044892137827 0.106390052530088 19 1.30102999566398 489 2.69019608002851 3.25154598045083 17 1.25527250510331 38 1.5910646070265 0.25267637475896 100 FALSE 1
85713 8152 135481 38580 4902 81 11718 4654 18803 0.999042705419857 0.864861989648002 0.851672152490479 FALSE 0 0 9 NO YES 4413 3.64483232882564 18536 4.26803944993424 17.0479067760035 25.5448856279672 35.7790246007769 52.1255934397928 4360 3.63958608667343 17752 4.2492717530731 95.7703927492447 16.3925191527715 24.5606128886886 34.5651194231636 51.0928346101848 53 1.73239375982297 784 2.89486965674525 4.22960725075529 99.6173469387755 100 6 0.845098040014257 18 1.27875360095283 0.0971083297367285 20 1.32221929473392 711 2.85247999363686 3.83577902460078 27 1.44715803134222 55 1.7481880270062 0.296719896417782 100 FALSE 1
100476 10571 150357 48260 4424 140 25471 4813 19642 0.998829039304129 0.848895224086704 0.869310218251594 FALSE 0 0 9 NO YES 4595 3.66238002001625 19391 4.28762260248619 18.0753958021763 26.8217214171523 37.1357846423599 52.8028466814502 4541 3.65724712988372 18080 4.25722244618757 93.2391315558764 15.6803097345133 24.1095132743363 34.3196902654867 50.4867256637168 54 1.74036268949424 1311 3.11793383503964 6.76086844412356 99.6948893974066 100 6 0.845098040014257 23 1.38021124171161 0.118611727089887 21 1.34242268082221 1223 3.08778141780954 6.30704966221443 27 1.44715803134222 65 1.81954393554187 0.335207054819246 100 FALSE 1
67439 4748 59283 17746 1585 54 3889 3172 10426 0.998177631883582 0.85286782960592 0.84557755076007 FALSE 0 0 9 NO YES 3067 3.48685535527694 10302 4.01296369982578 18.3556590953213 27.4703940982334 38.5556202679091 56.2026790914386 3025 3.48086892368717 9901 3.99572292199547 96.1075519316637 17.8668821331179 26.8255731744268 37.7436622563377 55.5095444904555 42 1.63346845557959 401 2.60422605308447 3.89244806833625 100 100 6 0.845098040014257 19 1.30102999566398 0.184430207726655 19 1.30102999566398 349 2.54406804435028 3.38769171034751 17 1.25527250510331 33 1.53147891704226 0.320326150262085 100 FALSE 1
76563 7975 113984 35202 3482 61 13454 3988 15505 0.998968074170288 0.858561753719083 0.845210677065026 FALSE 0 0 9 NO YES 3827 3.58297192910481 15322 4.18534380158219 18.072053256755 26.9155462733325 37.9715441848323 54.842709829004 3778 3.57737689191701 14421 4.1590254912249 94.1195666362094 16.3511545662575 24.9358574301366 35.9129047916233 53.1724568337841 49 1.69897000433602 901 2.95520653754194 5.88043336379063 100 100 5 0.778151250383644 15 1.20411998265592 0.0978984466779794 20 1.32221929473392 835 2.92220627743902 5.44968019840752 24 1.39794000867204 51 1.7160033436348 0.33285471870513 100 FALSE 1
75189 6110 128835 24471 3486 109 13443 4419 18632 0.999033919601205 0.841294546564355 0.845587781457825 FALSE 0 0 9 NO YES 4220 3.62541535215441 18389 4.26458172923808 18.6850834738159 27.7448474631573 38.3870792321497 54.7718744901843 4173 3.62055244472944 17323 4.23864817505781 94.2030561748872 17.2718351324828 25.8788893378745 36.3793800150089 53.1259019800266 47 1.68124123737559 1066 3.02816441942447 5.79694382511284 100 100 6 0.845098040014257 18 1.27875360095283 0.0978846049268585 22 1.36172783601759 989 2.99563519459755 5.37821523737017 19 1.30102999566398 59 1.77815125038364 0.320843982815814 100 FALSE 1
