unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers H1975 H2228 HCC827 poor_quality traj total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RaceID
63911 5581 87013 30842 3011 109 8397 5678 22806 0.998640708147575 0.83574497902493 0.854423899665045 FALSE 7 0 2 NO NO 5451 3.73655584716264 22557 4.35330059232073 17.453562087157 25.690473023895 35.0312541561378 49.6342598749834 5391 3.73174988352726 21219 4.32674537956532 94.0683601542758 15.5426740185683 23.1867665771243 32.4756114802771 47.5140204533673 60 1.78532983501077 1338 3.12678057701201 5.93163984572417 99.2526158445441 100 10 1.04139268515822 31 1.50514997831991 0.13742962273352 20 1.32221929473392 1236 3.09236969962912 5.47945205479452 30 1.49136169383427 71 1.85733249643127 0.314758168196125 100 FALSE 1
98778 8068 161892 42120 5451 76 6056 7334 40704 0.999361241892845 0.855493317399889 0.858465787523146 FALSE 0 0 9 NO YES 7030 3.84701709793535 40382 4.6061985789724 15.7273042444654 23.9760289237779 33.8938140755782 48.1204497053143 6964 3.84292112075998 39222 4.59354080793499 97.1274330147095 15.6697771658763 23.695884962521 33.3358829228494 47.5141502218143 66 1.82607480270083 1160 3.06483221973857 2.87256698529048 98.448275862069 100 8 0.954242509439325 26 1.43136376415899 0.0643851220840969 22 1.36172783601759 992 2.99694924849538 2.45654004259323 36 1.56820172406699 142 2.15533603746506 0.351641820613144 100 FALSE 1
103044 9280 159448 40647 5154 74 19031 7544 40853 0.999412527599096 0.827723789971918 0.866227482381347 FALSE 0 0 9 NO YES 7199 3.85733249643127 40469 4.60713320439157 17.7839828016506 25.9630828535422 35.4122908893227 49.3587684400405 7126 3.85290675879695 37773 4.57719297598312 93.3381106525983 15.0848489661928 22.9846715908188 32.3829190162285 46.821803934027 73 1.86923171973098 2696 3.43088094645289 6.66188934740171 98.8872403560831 100 10 1.04139268515822 24 1.39794000867204 0.0593046529442289 22 1.36172783601759 2509 3.39967372148104 6.19980725987793 41 1.6232492903979 163 2.2148438480477 0.402777434579555 100 FALSE 1
89449 7960 121424 40178 3901 66 12423 6411 31218 0.999006982830736 0.842718943928913 0.860208578317452 FALSE 0 0 9 NO YES 6171 3.79042591739111 30945 4.49060452120123 18.1515592179674 26.5470996930037 36.5131685248021 50.5121990628534 6105 3.78575679996264 28934 4.46142348669957 93.5013734044272 15.8083915117163 23.8715697794982 33.7595907928389 48.1717011128776 66 1.82607480270083 2011 3.30362797638389 6.49862659557279 99.204375932372 100 8 0.954242509439325 31 1.50514997831991 0.10017773469058 24 1.39794000867204 1862 3.27021285489624 6.01712716109226 34 1.54406804435028 118 2.07554696139253 0.38132169978995 100 FALSE 1
55526 3726 95297 19326 2855 132 4422 5404 23948 0.998371471104739 0.848630365438187 0.843994970772102 FALSE 0 0 9 NO YES 5208 3.7167543574327 23732 4.37535263923276 17.6976234619922 26.5295803135008 37.0596662733861 52.212202932749 5155 3.71231290868137 22813 4.35820143721125 96.1275914377212 17.2840047341428 25.8405295226406 36.0540042957963 51.2646298163328 53 1.73239375982297 919 2.96378782734556 3.87240856227878 99.6735582154516 100 8 0.954242509439325 39 1.60205999132796 0.164335075004214 18 1.27875360095283 807 2.90741136077459 3.40047193662565 27 1.44715803134222 73 1.86923171973098 0.307601550648913 100 FALSE 1
80431 6593 120163 35336 3923 139 7588 6312 29961 0.998531423851497 0.848269416625523 0.855645387121462 FALSE 0 0 9 NO YES 6028 3.78024528386535 29637 4.47184889369765 16.9484090832405 25.4512939906198 35.2633532408813 49.9510746701758 5966 3.7757560378441 28265 4.45126435462188 95.3706515504268 15.8995223774987 24.0084910666903 33.667079426853 48.5087564125243 62 1.79934054945358 1372 3.13767053723676 4.62934844957317 99.1253644314869 100 7 0.903089986991944 42 1.63346845557959 0.141714748456321 19 1.30102999566398 1230 3.09025805293132 4.1502176333637 36 1.56820172406699 100 2.00432137378264 0.337416067753146 100 FALSE 1
94440 7962 127825 46195 4243 108 15737 6508 30533 0.999213964890704 0.83581698462784 0.870696993188683 FALSE 0 0 9 NO YES 6252 3.79608842868067 30267 4.48098372529553 17.9931939075561 26.2331912644134 35.9467406746622 50.2626623054812 6190 3.79176080401291 28075 4.44833523374018 92.7577890111342 14.8673196794301 22.853072128228 32.5592163846839 47.4372217275156 62 1.79934054945358 2192 3.34103863167752 7.24221098886576 99.4525547445255 100 6 0.845098040014257 24 1.39794000867204 0.0792942808999901 21 1.34242268082221 2060 3.31407799177921 6.80609244391582 35 1.55630250076729 108 2.03742649794062 0.356824264049955 100 FALSE 1
61714 5220 52885 16263 1682 53 3412 4526 16208 0.998827738771701 0.842670285758471 0.854700854700855 FALSE 0 0 9 NO YES 4386 3.64216763440495 16063 4.20585369546493 18.2593537944344 27.0497416422835 37.5708149162672 53.1905621614891 4336 3.63718942214876 15345 4.18599519386471 95.530100230343 17.484522645813 25.9889214727924 36.2072336265885 52.0430107526882 50 1.70757017609794 718 2.85672889038288 4.46989976965698 100 100 6 0.845098040014257 18 1.27875360095283 0.112058768598643 20 1.32221929473392 648 2.81224469680037 4.03411566955114 24 1.39794000867204 52 1.72427586960079 0.32372533150719 100 FALSE 1
70724 6043 102499 32381 3110 59 9496 5649 25207 0.999246240727081 0.849208552842778 0.849882631855186 FALSE 0 0 9 NO YES 5425 3.73447978942558 24961 4.39727937885359 18.4287488482032 27.1102920556067 37.2581226713673 52.0371779976764 5367 3.72981250716094 23510 4.37127110148758 94.1869316133168 16.7460655040408 25.0276478094428 34.9425776265419 50.1531263292216 58 1.77085201164214 1451 3.16196661636407 5.81306838668323 99.4486560992419 100 6 0.845098040014257 19 1.30102999566398 0.0761187452425784 20 1.32221929473392 1333 3.12515582958053 5.34033091622932 32 1.51851393987789 99 2 0.39661872521133 100 FALSE 1
70179 5301 113330 22432 3626 15 11016 6132 28950 0.999723661139992 0.830362694013692 0.853125784757933 FALSE 0 0 9 NO YES 5904 3.77121990194953 28701 4.45791216010336 18.5777499041845 27.3509633810669 37.76871885997 52.6950280478032 5841 3.76656155263753 27100 4.43298531620538 94.4217971499251 16.9667896678967 25.3062730627306 35.6346863468635 50.8560885608856 63 1.80617997398389 1601 3.20466251174822 5.57820285007491 99.1880074953154 100 6 0.845098040014257 8 0.954242509439325 0.0278735932545904 25 1.41497334797082 1504 3.17753649992986 5.240235531863 32 1.51851393987789 89 1.95424250943932 0.310093724957319 100 FALSE 1
39574 3305 61498 12883 1977 125 8443 4529 16605 0.998072869016517 0.816260162110051 0.843540594073716 FALSE 7 2 0 NO NO 4390 3.64256343710439 16454 4.21629788663039 22.0493497022001 30.9894250638143 40.4764798833111 54.9045824723472 4333 3.6368889069838 15088 4.17866045853817 91.6980673392488 18.7566277836691 27.2269353128314 36.7643160127253 51.9883351007423 57 1.76342799356294 1366 3.13576851456782 8.30193266075118 99.4875549048316 100 12 1.11394335230684 32 1.51851393987789 0.194481585024918 22 1.36172783601759 1286 3.10957854690439 7.81572869818889 23 1.38021124171161 48 1.69019608002851 0.291722377537377 100 FALSE 1
102793 8323 163982 46481 5491 105 10058 7328 40254 0.999130520942234 0.848661002422452 0.857405262233502 FALSE 0 0 9 NO YES 7012 3.84590383889878 39909 4.60108172778402 16.9761206745346 25.4929965671904 35.315342403969 49.667994687915 6941 3.84148460933539 38220 4.58230204558662 95.767871908592 16.2271062271062 24.421768707483 33.974358974359 48.4222919937206 71 1.85733249643127 1689 3.22788670461367 4.23212809140795 98.6382474837182 100 9 1 35 1.55630250076729 0.0876995163998096 22 1.36172783601759 1506 3.17811325231463 3.77358490566038 40 1.61278385671974 148 2.17318626841227 0.370843669347766 100 FALSE 1
78584 6855 119427 36093 3555 93 9487 6146 29333 0.998806804282274 0.840623188613295 0.859509474138522 FALSE 0 0 9 NO YES 5931 3.77320114235634 29102 4.4639377593052 17.3149611710535 25.6477218060614 36.0387602226651 50.7834513091884 5864 3.76826801645155 27631 4.44141232022338 94.945364579754 15.9494770366617 23.9911693387861 34.2296695740292 49.2092215265463 67 1.83250891270624 1471 3.16790781000148 5.05463542024603 98.844323589395 100 7 0.903089986991944 35 1.55630250076729 0.12026664834032 21 1.34242268082221 1332 3.12483014941386 4.57700501683733 39 1.60205999132796 104 2.02118929906994 0.35736375506838 100 FALSE 1
85447 7643 118085 44925 3613 75 11504 6187 28459 0.998980989845398 0.836853016326346 0.862468511729677 FALSE 0 0 9 NO YES 5924 3.77268835468214 28173 4.449848510266 18.4822347637809 27.0294253363149 36.7514996627977 51.1447130231072 5861 3.76804581410242 26463 4.42265548787245 93.9303588542221 16.570305709859 24.6457317764426 34.2440388466916 49.0571741677059 63 1.80617997398389 1710 3.2332500095411 6.06964114577787 99.2397660818714 100 7 0.903089986991944 29 1.47712125471966 0.102935434635999 22 1.36172783601759 1581 3.19920647916166 5.61175593653498 34 1.54406804435028 100 2.00432137378264 0.354949774606893 100 FALSE 1
100740 9464 147137 49851 4283 86 16980 7142 37729 0.999204855416469 0.83847968384042 0.87566570127337 FALSE 0 0 9 NO YES 6842 3.83524653999631 37416 4.57306896393162 18.0350652127432 25.970173187941 35.6024160786829 49.3933076758606 6768 3.83052451409726 34714 4.54051716959257 92.7784904853539 14.7894221351616 22.4722014172956 32.1253672869736 46.4394768681224 74 1.8750612633917 2702 3.43184604569873 7.22150951464614 98.9267209474463 100 9 1 30 1.49136169383427 0.0801796023091726 23 1.38021124171161 2546 3.40602894496361 6.80457558263844 42 1.63346845557959 126 2.10380372095596 0.336754329698525 100 FALSE 1
