unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers cell_name p_column p_row mix H2228_prop H1975_prop HCC827_prop mRNA_amount total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control RCA
81976 5136 139263 11825 3310 200 23158 9004 54474 0.998017402614455 0.82132760567953 0.926258228465281 FALSE L19 L 19 6 0.68 0.16 0.16 30 8651 3.93711651076705 54107 4.7332614813542 17.2602435914022 23.7455412423531 31.8313711719371 45.5430905428133 8561 3.93257522349829 49195 4.69192979283751 90.9216922024877 12.1109868889115 18.4896839109666 26.825896940746 41.3497306636853 90 1.95904139232109 4912 3.69134676413482 9.07830779751234 98.7988599348534 100 14 1.17609125905568 106 2.02938377768521 0.195908108008206 21 1.34242268082221 4558 3.65886959220196 8.42404864435286 55 1.7481880270062 248 2.39619934709574 0.458351045151274 97.9838709677419 FALSE 2
25523 2223 55982 5610 1193 217 15678 5944 21582 0.994578815218896 0.81160226076749 0.927809782314066 FALSE A10 A 10 1 0.33 0.33 0.33 7.5 5813 3.76447502743441 21448 4.33140704921978 24.2913092129802 30.7674375233122 38.3345766505035 50.7226781051846 5744 3.7592900330243 18124 4.25827801524303 84.5020514733309 14.290443610682 20.8452880158905 29.0829838887663 43.1196203928493 69 1.84509804001426 3324 3.52179164963912 15.4979485266692 99.4283995186522 100 15 1.20411998265592 114 2.06069784035361 0.531518090264827 18 1.27875360095283 3100 3.49150176623733 14.4535621036927 36 1.56820172406699 110 2.04532297878666 0.512868332711675 100 FALSE 3
43820 4036 99274 10019 2583 219 22285 8214 40022 0.996876717556125 0.814252161107828 0.923092068589259 FALSE A11 A 11 1 0.33 0.33 0.33 15 7941 3.89992988272786 39743 4.59927157416047 19.9431346400624 25.9366429308306 33.7619203381728 46.289912689027 7856 3.89525675314489 35013 4.54424172740874 88.0985330750069 12.306857452946 18.4188729900323 26.7443520977923 40.2907491503156 85 1.93449845124357 4730 3.67495294804857 11.9014669249931 99.1331923890063 100 15 1.20411998265592 125 2.10037054511756 0.314520796115039 22 1.36172783601759 4407 3.64424158584373 11.0887451878318 48 1.69019608002851 198 2.29885307640971 0.498200941046222 100 FALSE 3
56199 5201 130996 13138 3373 298 29834 8753 48213 0.996909547010783 0.813390579135629 0.920456947201596 FALSE A12 A 12 1 0.33 0.33 0.33 15 8427 3.92572452693606 47868 4.68005435501447 19.3970920030083 25.6810395253614 33.4774797359405 46.0203058410629 8340 3.92121812119495 42421 4.62759113962817 88.6207905072282 12.3264420923599 18.5780627519389 26.8239786897999 40.3243676480988 87 1.94448267215017 5447 3.73623709890473 11.3792094927718 98.9719111437488 100 16 1.23044892137827 147 2.17026171539496 0.307094509902231 22 1.36172783601759 5079 3.70586371228392 10.6104286788669 49 1.69897000433602 221 2.34635297445064 0.461686304002674 100 FALSE 1
46307 4206 104768 10144 2479 235 24891 7995 38447 0.996956849429876 0.80656488131543 0.921033911349673 FALSE A13 A 13 1 0.33 0.33 0.33 15 7735 3.88851646107495 38174 4.58177904572846 20.8938020642322 27.1336511761932 34.7880756535862 47.1603709330958 7657 3.88411536201167 33374 4.52342127437263 87.4259967517158 12.8033798765506 19.0807215197459 27.2337747947504 40.8371786420567 78 1.89762709129044 4800 3.68133170596917 12.5740032482842 99.375 100 14 1.17609125905568 117 2.07188200730613 0.306491329176927 21 1.34242268082221 4514 3.65465775464952 11.8248022214072 43 1.64345267648619 169 2.23044892137827 0.442709697700005 100 FALSE 1
55039 5194 125132 12248 2914 279 30784 8528 46136 0.997095543394075 0.808869429337422 0.919867149326524 FALSE A14 A 14 1 0.33 0.33 0.33 15 8245 3.91624333046534 45836 4.6612161856155 20.1108299153504 26.5271838729383 34.3965442010647 46.5529278296535 8164 3.91195618907269 40279 4.60508946188158 87.8763417401169 12.2669381067057 18.8112912435761 27.0786265796072 40.356016782939 81 1.91381385238372 5557 3.74491854244135 12.1236582598831 99.2262011876912 100 17 1.25527250510331 133 2.12710479836481 0.290164935858277 23 1.38021124171161 5255 3.72065535655172 11.4647875032725 41 1.6232492903979 169 2.23044892137827 0.368705820752247 100 FALSE 1
48679 4154 103433 10345 2506 249 28200 7706 37062 0.996843127462942 0.806891155143573 0.922346089702097 FALSE A15 A 15 1 0.33 0.33 0.33 15 7465 3.87308798559029 36815 4.56603660132457 21.8742360450903 28.0510661415184 35.8875458372946 48.37973652044 7390 3.86870320227854 31762 4.50192151459622 86.2746163248676 12.7133052074806 19.1234808891128 27.5927208614067 41.4331591209622 75 1.88081359228079 5053 3.7036352375839 13.7253836751324 99.4260835147437 100 15 1.20411998265592 116 2.06818586174616 0.315088958305039 20 1.32221929473392 4783 3.67979117098035 12.9919869618362 40 1.61278385671974 154 2.19033169817029 0.418307754991172 100 FALSE 1
43761 4000 95476 8913 2387 235 23557 7846 37867 0.996778197111792 0.803760530064763 0.923072616507086 FALSE A16 A 16 1 0.33 0.33 0.33 15 7597 3.8806992892187 37611 4.57532642743649 20.8157188056686 27.0266677301853 34.8940469543485 47.7147642976789 7522 3.87639106181919 32891 4.51709028158712 87.4504799127915 12.6235140311939 19.026481408288 27.3600681037366 41.3669392843027 75 1.88081359228079 4720 3.67403400043125 12.5495200872085 99.4279661016949 100 15 1.20411998265592 121 2.08635983067475 0.321714392066151 21 1.34242268082221 4449 3.64836001098093 11.8289862008455 39 1.60205999132796 150 2.17897694729317 0.398819494296881 100 FALSE 1
83283 7817 200756 20256 5006 287 55240 9876 67274 0.998082468561691 0.810981954274908 0.924413454765072 FALSE A18 A 18 1 0.33 0.33 0.33 30 9454 3.97566153318106 66830 4.82497795957099 19.7695645668113 25.6172377674697 33.054017656741 45.4915457130031 9364 3.97150778171126 58713 4.76874166850153 87.8542570701781 11.6907669511011 17.6110912404408 25.4986118917446 39.1105887963483 90 1.95904139232109 8117 3.90944904698127 12.1457429298219 99.2238511765431 100 15 1.20411998265592 127 2.10720996964787 0.19003441568158 23 1.38021124171161 7691 3.88603927556644 11.5083046535987 52 1.72427586960079 299 2.47712125471966 0.447403860541673 99.3311036789298 FALSE 1
92508 8368 209190 20379 5096 344 45502 10282 75067 0.997695391983469 0.815471512007211 0.922762209391316 FALSE A19 A 19 1 0.33 0.33 0.33 30 9827 3.99246514780804 74588 4.87267478469057 17.9398830911138 24.0454228562235 31.5855097334692 44.0030567919773 9732 3.98824672337538 66782 4.82466592436468 89.5345095725854 11.3548560989488 17.4762660597167 25.3122098769129 38.63466203468 95 1.98227123303957 7806 3.89248417936469 10.4654904274146 98.9367153471688 100 16 1.23044892137827 171 2.23552844690755 0.229259398294632 24 1.39794000867204 7300 3.86338234844079 9.78709712018019 55 1.7481880270062 335 2.52633927738984 0.449133908939776 98.5074626865672 FALSE 1
