unaligned aligned_unmapped mapped_to_exon mapped_to_intron ambiguous_mapping mapped_to_ERCC mapped_to_MT number_of_genes total_count_per_cell non_ERCC_percent non_mt_percent non_ribo_percent outliers cell_name p_column p_row mix H2228_prop H1975_prop HCC827_prop mRNA_amount total_features log10_total_features total_counts log10_total_counts pct_counts_top_50_features pct_counts_top_100_features pct_counts_top_200_features pct_counts_top_500_features total_features_endogenous log10_total_features_endogenous total_counts_endogenous log10_total_counts_endogenous pct_counts_endogenous pct_counts_top_50_features_endogenous pct_counts_top_100_features_endogenous pct_counts_top_200_features_endogenous pct_counts_top_500_features_endogenous total_features_feature_control log10_total_features_feature_control total_counts_feature_control log10_total_counts_feature_control pct_counts_feature_control pct_counts_top_50_features_feature_control pct_counts_top_100_features_feature_control total_features_ercc log10_total_features_ercc total_counts_ercc log10_total_counts_ercc pct_counts_ercc total_features_mt log10_total_features_mt total_counts_mt log10_total_counts_mt pct_counts_mt total_features_rbp log10_total_features_rbp total_counts_rbp log10_total_counts_rbp pct_counts_rbp pct_counts_top_50_features_rbp is_cell_control SC3
172206 11273 377435 33419 9170 1552 71974 10843 98036 0.994338814211684 0.834601574846526 0.932330885355289 FALSE L19 L 19 6 0.68 0.16 0.16 30 10289 4.01241537476243 97421 4.98865704106462 16.1761837796779 22.2682994426253 30.3784604961969 43.641514663163 10187 4.00808893629158 88894 4.94887733427194 91.2472670163517 11.3775957882422 17.434247530767 25.620401826895 39.5201025941008 102 2.01283722470517 8527 3.9308471916825 8.75273298364829 98.5223407998124 99.9765450920605 25 1.41497334797082 555 2.74507479158206 0.569692366122294 21 1.34242268082221 7610 3.88144172194139 7.81145748863181 56 1.75587485567249 362 2.55990662503611 0.371583128894181 98.3425414364641 FALSE 2
11034 964 28601 2934 688 489 9687 3027 7996 0.976863430494168 0.814532265114392 0.921584640339369 FALSE A10 A 10 1 0.33 0.33 0.33 7.5 2990 3.47581641303132 7959 3.90091306773767 27.1390878251037 33.6725719311471 42.5430330443523 57.544917703229 2930 3.46701581843844 6448 3.80949237693734 81.0152029149391 14.9193548387097 21.8517369727047 32.0254342431762 49.4882133995037 60 1.78532983501077 1511 3.17955179116519 18.9847970850609 99.33818663137 100 20 1.32221929473392 184 2.26717172840301 2.31184822213846 18 1.27875360095283 1287 3.10991586302379 16.1703731624576 22 1.36172783601759 40 1.61278385671974 0.502575700464883 100 FALSE 2
53376 4798 129461 13607 3179 1029 34262 7668 37074 0.989750229004221 0.819145492577239 0.923935662745951 FALSE A11 A 11 1 0.33 0.33 0.33 15 7490 3.87453979707101 36892 4.56694397185655 20.2726878456034 26.553182261737 34.4898623007698 47.0101919115255 7396 3.86905561870191 32055 4.50590932942464 86.8887563699447 12.2102636094213 18.4963344252067 26.760255810326 40.4679457182967 94 1.97772360528885 4837 3.68466586402586 13.1112436300553 98.6355178829853 100 23 1.38021124171161 380 2.58092497567562 1.03003361162312 24 1.39794000867204 4302 3.63377134608256 11.6610647294806 47 1.68124123737559 155 2.19312459835446 0.420145288951534 100 FALSE 2
61411 6119 155776 14337 4073 1294 44392 7761 40369 0.989249176103136 0.810622011739052 0.917411648192512 FALSE A12 A 12 1 0.33 0.33 0.33 15 7544 3.87765924411161 40136 4.603544908457 20.6522822403827 27.3046641419175 35.3049631253737 47.8971496910504 7454 3.87244764778901 34823 4.54187865414934 86.7625074745864 12.7789104901933 19.3808689659133 27.6455216379979 41.4323866410131 90 1.95904139232109 5313 3.72542155007426 13.2374925254136 98.833051006964 100 22 1.36172783601759 434 2.63848925695464 1.08132350009966 21 1.34242268082221 4710 3.67311310423823 11.7351006577636 47 1.68124123737559 169 2.23044892137827 0.421068367550329 100 FALSE 2
44453 4476 108903 10483 2790 939 26975 6750 29832 0.989541431687603 0.813689997045558 0.919079874269283 FALSE A13 A 13 1 0.33 0.33 0.33 15 6588 3.81881950754754 29664 4.47224435267347 21.0490830636462 27.6833872707659 35.8919902912621 49.1774541531823 6508 3.81351427154188 25804 4.41170386340597 86.987594390507 13.4242753061541 20.0511548597117 28.6350953340567 43.0902185707642 80 1.90848501887865 3860 3.58669980162405 13.012405609493 98.9637305699482 100 22 1.36172783601759 310 2.49276038902684 1.0450377562028 22 1.36172783601759 3408 3.53262700122889 11.4886731391586 36 1.56820172406699 142 2.15533603746506 0.478694714131607 100 FALSE 2
34159 3351 84651 9142 2153 760 24568 5872 23382 0.98768283252601 0.81006757300057 0.91737194535457 FALSE A14 A 14 1 0.33 0.33 0.33 15 5734 3.75853342223729 23234 4.36614267681489 22.7855728673496 29.405182060773 37.7722303520702 50.9511922183008 5663 3.75312324468171 19788 4.29642384850378 85.1682878540071 13.5031332120477 20.2951283606226 29.1388720436628 43.8093794218718 71 1.85733249643127 3446 3.53744128340795 14.8317121459929 99.3905977945444 100 20 1.32221929473392 288 2.46089784275655 1.23956270982181 21 1.34242268082221 3073 3.48770386316373 13.2263062752862 30 1.49136169383427 85 1.93449845124357 0.36584316088491 100 FALSE 2
54006 4618 136832 13735 3047 907 47277 6887 32725 0.989702062340809 0.810481283174796 0.924063888750531 FALSE A15 A 15 1 0.33 0.33 0.33 15 6736 3.82846654735268 32568 4.51280442417282 23.1515598133137 29.6088184721199 37.6780889216409 50.4083763203144 6660 3.82353943365686 27549 4.4401216031878 84.5891672807664 13.1983012087553 19.7502631674471 28.4983120984428 42.789211949617 76 1.88649072517248 5019 3.70070371714502 15.4108327192336 99.2628013548516 100 19 1.30102999566398 336 2.52762990087134 1.03168754605748 21 1.34242268082221 4576 3.6605809124273 14.0506018177352 36 1.56820172406699 107 2.03342375548695 0.328543355440924 100 FALSE 2
38496 3496 92020 9908 2392 854 25751 6748 28668 0.987616854685497 0.806334588807613 0.921514956915391 FALSE A16 A 16 1 0.33 0.33 0.33 15 6614 3.82052984852352 28532 4.45534743639419 21.7650357493341 28.3366045142296 36.2715547455489 48.9555586709659 6530 3.81497968376076 24502 4.3892192600251 85.8755082013178 13.178516039507 19.8024651048894 28.1528038527467 42.1720675863195 84 1.92941892571429 4030 3.60541279815305 14.1244917986822 98.7593052109181 100 25 1.41497334797082 355 2.55144999797288 1.24421701948689 23 1.38021124171161 3552 3.55059520748933 12.4491798682181 36 1.56820172406699 123 2.09342168516224 0.431094910977148 100 FALSE 2
41858 4379 114558 12255 2865 733 33200 6771 30929 0.990979339457797 0.810792459888521 0.914933908327489 FALSE A18 A 18 1 0.33 0.33 0.33 30 6620 3.82092358788132 30771 4.48815572376571 21.7347502518605 28.4586136297163 36.6871404894219 49.3451626531474 6538 3.81551133736276 26441 4.42229430089356 85.9283091222255 13.0933020687569 19.9009114632578 28.5654854203699 42.524866684316 82 1.91907809237607 4330 3.63658818372984 14.0716908777745 99.0069284064665 100 21 1.34242268082221 279 2.44715803134222 0.90669786487277 22 1.36172783601759 3919 3.59328606702046 12.7360176789835 39 1.60205999132796 132 2.12385164096709 0.4289753339183 100 FALSE 2
85027 7662 204575 19370 5395 887 51213 8901 54208 0.994152154480122 0.814418535859206 0.918000863709994 FALSE A19 A 19 1 0.33 0.33 0.33 30 8617 3.93540648975235 53911 4.73168544336365 19.2038730500269 25.5476618871844 33.6628888353026 46.2206228784478 8525 3.93074532831111 47704 4.67856390018495 88.4865797332641 12.248448767399 18.6609089384538 27.0564313265135 40.5919839007211 92 1.96848294855394 6207 3.79295170825013 11.5134202667359 98.6628000644434 100 20 1.32221929473392 317 2.50242711998443 0.588006158297935 23 1.38021124171161 5656 3.75258617874041 10.4913653985272 49 1.69897000433602 234 2.37106786227174 0.434048709910779 100 FALSE 2
