"","accuracy_entropy","purity_entropy","ARI","cluster_number","method","dataset","design"
"1",1.91074314510821,0,0,1,"RaceID","RNAmix_CEL-seq2","RNAmix"
"2",0.0714356090168439,0.937357663141447,0.631358268185903,37,"RaceID2","RNAmix_CEL-seq2","RNAmix"
"3",0.77388708160079,0.467049274545741,0.495931224374821,6,"RCA","RNAmix_CEL-seq2","RNAmix"
"4",0.978507650804285,0.0796939744662452,0.183992098025708,3,"sc3","RNAmix_CEL-seq2","RNAmix"
"5",1.06678352493015,0.234360041823475,0.3324949613313,3,"Seurat","RNAmix_CEL-seq2","RNAmix"
"6",0.540944130738067,0.528529680085368,0.56047101912837,7,"RaceID","RNAmix_Sort-seq","RNAmix"
"7",0.156005052928335,0.960657273498442,0.495357598324202,32,"RaceID2","RNAmix_Sort-seq","RNAmix"
"8",0.641734106805356,0.429148153715735,0.43855215763724,7,"RCA","RNAmix_Sort-seq","RNAmix"
"9",0.79961916240192,0.089748562632115,0.204950350450896,3,"sc3","RNAmix_Sort-seq","RNAmix"
"10",0.982338559689367,0.446331301813634,0.410870657638099,4,"Seurat","RNAmix_Sort-seq","RNAmix"
"11",3.25346473482457,0,0,1,"RaceID","cellmix1","cellmix"
"12",0.955815392506811,0.555592943778131,0.0516881424087693,12,"RaceID2","cellmix1","cellmix"
"13",2.27724982070979,0.993361784475794,0.0439197374507169,9,"RCA","cellmix1","cellmix"
"14",2.4859455967297,0.27153988047224,0.0921780863780052,3,"sc3","cellmix1","cellmix"
"15",2.52396159202125,0.276345621207153,0.0769522675457876,3,"Seurat","cellmix1","cellmix"
"16",3.25732580877415,0,0,1,"RaceID","cellmix2","cellmix"
"17",1.45081119930249,0.687874445858887,0.0551536058910176,9,"RaceID2","cellmix2","cellmix"
"18",1.92928427171832,0.90911307041319,0.0512136455441488,10,"RCA","cellmix2","cellmix"
"19",2.42784689360978,0.395065211600395,0.100873849307272,4,"sc3","cellmix2","cellmix"
"20",2.56498315791963,0.319241883064937,0.0894491777429277,3,"Seurat","cellmix2","cellmix"
"21",3.25417131232116,0,0,1,"RaceID","cellmix3","cellmix"
"22",1.52465736256551,0.812254818703189,0.0343417450229621,11,"RaceID2","cellmix3","cellmix"
"23",2.13576679231307,1.04053388721251,0.0653881209862669,11,"RCA","cellmix3","cellmix"
"24",2.51944473074602,0.267754223691999,0.0928366181369072,3,"sc3","cellmix3","cellmix"
"25",2.56067540987542,0.355753274223177,0.0853599960651968,3,"Seurat","cellmix3","cellmix"
"26",3.27307220660174,0,0,1,"RaceID","cellmix4","cellmix"
"27",0.886103665668047,0.995525922199771,0.0883453060529386,24,"RaceID2","cellmix4","cellmix"
"28",2.18199175054684,1.09573227703858,0.0550923820962012,11,"RCA","cellmix4","cellmix"
"29",2.57149185345415,0.321480319336246,0.0848880252934102,3,"sc3","cellmix4","cellmix"
"30",2.54909351295086,0.314160178685036,0.0924188360807448,3,"Seurat","cellmix4","cellmix"
"31",0.022221057397834,2.03403503614632,0.190255784071046,31,"clusterExperiment","sc_10X","sc"
"32",0.401788362615324,0.177596701239773,0.519263799704064,3,"RaceID","sc_10X","sc"
"33",0.00206993959360197,2.39852876366959,0.203077371110252,103,"RaceID2","sc_10X","sc"
"34",0.230963284189619,1.47013930677105,0.327249540956526,15,"RCA","sc_10X","sc"
"35",0.0332886008794079,1.51094820666791,0.300059910912899,17,"sc3","sc_10X","sc"
"36",0.0291303791270761,0.483512444596097,0.697810345705992,5,"Seurat","sc_10X","sc"
"37",0.125384958340461,1.15457612889871,0.397215057566887,12,"clusterExperiment","sc_CEL-seq2","sc"
"38",0.540919768826333,0.56074059834329,0.400379375188349,3,"RaceID","sc_CEL-seq2","sc"
"39",0.0384842910247149,1.45962365541884,0.342518525167228,29,"RaceID2","sc_CEL-seq2","sc"
"40",0.73309075846466,1.46138685908594,0.233626000297133,9,"RCA","sc_CEL-seq2","sc"
"41",0.0814011621803642,0.453036787762094,0.723173097935502,7,"sc3","sc_CEL-seq2","sc"
"42",0.0223989601208993,0.016759647960462,0.988574069274326,3,"Seurat","sc_CEL-seq2","sc"
"43",0.0268332381417717,1.12109127725837,0.418580450566881,13,"clusterExperiment","sc_Drop-seq","sc"
"44",1.08602819961018,0,0,1,"RaceID","sc_Drop-seq","sc"
"45",0.122034101454665,0.523011220263062,0.50597604468931,6,"RaceID2","sc_Drop-seq","sc"
"46",0.32179427193192,1.1739108917857,0.325897512601941,9,"RCA","sc_Drop-seq","sc"
"47",0,0.32043984067432,0.761668527316691,5,"sc3","sc_Drop-seq","sc"
"48",0.019628941024726,0.161538873156393,0.887192318943541,4,"Seurat","sc_Drop-seq","sc"
