"corr","overlap","method","design","dataset"
0.807991966256597,0.777777777777778,"DPT","cellmix","cellmix1"
0.800438903674644,0.625,"DPT","cellmix","cellmix1"
0.789657163591037,0.851851851851852,"DPT","cellmix","cellmix1"
0.634521731417867,0.644230769230769,"DPT","cellmix","cellmix1"
0.747286545207392,0.833333333333333,"DPT","cellmix","cellmix1"
0.185104218822309,0.519230769230769,"DPT","cellmix","cellmix1"
0.835035792551915,0.888888888888889,"DPT","cellmix","cellmix1"
0.639738061986974,0.605769230769231,"DPT","cellmix","cellmix1"
0.799331918688269,0.907407407407407,"DPT","cellmix","cellmix1"
0.657171869293753,0.663461538461538,"DPT","cellmix","cellmix1"
0.805307266527083,0.75,"DPT","cellmix","cellmix1"
0.630018577517942,0.586538461538462,"DPT","cellmix","cellmix1"
0.814686088763319,0.953703703703704,"DPT","cellmix","cellmix1"
0.669282066731965,0.682692307692308,"DPT","cellmix","cellmix1"
0.810350198192424,0.87962962962963,"DPT","cellmix","cellmix1"
0.687280364720425,0.634615384615385,"DPT","cellmix","cellmix1"
0.765922960704025,0.814814814814815,"DPT","cellmix","cellmix1"
0.695708478968152,0.673076923076923,"DPT","cellmix","cellmix1"
0.819949647623503,0.87037037037037,"DPT","cellmix","cellmix1"
0.715173187334607,0.682692307692308,"DPT","cellmix","cellmix1"
0.891947560770162,0.918181818181818,"DPT","cellmix","cellmix2"
0.821482975971638,0.685714285714286,"DPT","cellmix","cellmix2"
0.86550523443249,0.836363636363636,"DPT","cellmix","cellmix2"
0.800414206950907,0.828571428571429,"DPT","cellmix","cellmix2"
0.844297011709348,0.809090909090909,"DPT","cellmix","cellmix2"
0.79656835212915,0.714285714285714,"DPT","cellmix","cellmix2"
0.894919823867305,0.827272727272727,"DPT","cellmix","cellmix2"
0.813934486971958,0.714285714285714,"DPT","cellmix","cellmix2"
0.885003772353978,0.8,"DPT","cellmix","cellmix2"
0.830854209823666,0.704761904761905,"DPT","cellmix","cellmix2"
0.862016564195773,0.818181818181818,"DPT","cellmix","cellmix2"
0.722960615199905,0.742857142857143,"DPT","cellmix","cellmix2"
0.867166980039321,0.827272727272727,"DPT","cellmix","cellmix2"
0.693380765532028,0.676190476190476,"DPT","cellmix","cellmix2"
0.840530481127549,0.890909090909091,"DPT","cellmix","cellmix2"
0.772876612807796,0.80952380952381,"DPT","cellmix","cellmix2"
0.882058308779042,0.818181818181818,"DPT","cellmix","cellmix2"
0.851499202312286,0.733333333333333,"DPT","cellmix","cellmix2"
0.864734153771475,0.854545454545454,"DPT","cellmix","cellmix2"
0.807028361639281,0.714285714285714,"DPT","cellmix","cellmix2"
0.865425964907348,0.811965811965812,"DPT","cellmix","cellmix3"
0.785120936325562,0.699115044247788,"DPT","cellmix","cellmix3"
0.83706860140601,0.914529914529915,"DPT","cellmix","cellmix3"
0.765065002854524,0.663716814159292,"DPT","cellmix","cellmix3"
0.844382594114579,0.811965811965812,"DPT","cellmix","cellmix3"
0.821938673137263,0.619469026548673,"DPT","cellmix","cellmix3"
0.829105843006933,0.888888888888889,"DPT","cellmix","cellmix3"
0.780139166796421,0.646017699115044,"DPT","cellmix","cellmix3"
0.842573015031293,0.897435897435897,"DPT","cellmix","cellmix3"
0.80910578331943,0.734513274336283,"DPT","cellmix","cellmix3"
0.795048994478939,0.897435897435897,"DPT","cellmix","cellmix3"
0.650311831415986,0.592920353982301,"DPT","cellmix","cellmix3"
0.827974249946387,0.948717948717949,"DPT","cellmix","cellmix3"
0.701095838785616,0.663716814159292,"DPT","cellmix","cellmix3"
0.822953851945716,0.914529914529915,"DPT","cellmix","cellmix3"
0.737615279967938,0.734513274336283,"DPT","cellmix","cellmix3"
0.859459793741396,0.914529914529915,"DPT","cellmix","cellmix3"
0.821509917669726,0.654867256637168,"DPT","cellmix","cellmix3"
0.839450617418569,0.863247863247863,"DPT","cellmix","cellmix3"
0.777421907521668,0.752212389380531,"DPT","cellmix","cellmix3"
0.840384083629461,0.872881355932203,"DPT","cellmix","cellmix4"
0.79226133158767,0.823008849557522,"DPT","cellmix","cellmix4"
0.873713305141543,0.898305084745763,"DPT","cellmix","cellmix4"
0.813111920468575,0.849557522123894,"DPT","cellmix","cellmix4"
0.823109599933434,0.923728813559322,"DPT","cellmix","cellmix4"
0.814213459875568,0.814159292035398,"DPT","cellmix","cellmix4"
0.867488729364705,0.847457627118644,"DPT","cellmix","cellmix4"
0.803961687446619,0.79646017699115,"DPT","cellmix","cellmix4"
0.855989973705686,0.902654867256637,"DPT","cellmix","cellmix4"
0.83854334717721,0.830508474576271,"DPT","cellmix","cellmix4"
0.858943599369632,0.915254237288136,"DPT","cellmix","cellmix4"
0.796421225599436,0.761061946902655,"DPT","cellmix","cellmix4"
0.873814341994919,0.898305084745763,"DPT","cellmix","cellmix4"
0.822782230596447,0.725663716814159,"DPT","cellmix","cellmix4"
0.871001301612565,0.88135593220339,"DPT","cellmix","cellmix4"
0.789516784539581,0.743362831858407,"DPT","cellmix","cellmix4"
0.853925499870062,0.88135593220339,"DPT","cellmix","cellmix4"
0.826883100911549,0.805309734513274,"DPT","cellmix","cellmix4"
0.869161441169951,0.932203389830508,"DPT","cellmix","cellmix4"
0.825931805532947,0.716814159292035,"DPT","cellmix","cellmix4"
0.747545828435982,0.088,"DPT","RNAmix","RNAmix_CEL-seq2"
0.683288147712877,0.0311284046692607,"DPT","RNAmix","RNAmix_CEL-seq2"
0.839022911410134,0.092,"DPT","RNAmix","RNAmix_CEL-seq2"
0.792097891073909,0.0194552529182879,"DPT","RNAmix","RNAmix_CEL-seq2"
0.805669809406977,0.076,"DPT","RNAmix","RNAmix_CEL-seq2"
0.755498213776023,0.0194552529182879,"DPT","RNAmix","RNAmix_CEL-seq2"
0.829760828945239,0.08,"DPT","RNAmix","RNAmix_CEL-seq2"
0.772411460506744,0.0116731517509728,"DPT","RNAmix","RNAmix_CEL-seq2"
0.817329645710995,0.084,"DPT","RNAmix","RNAmix_CEL-seq2"
0.776287503899358,0.0194552529182879,"DPT","RNAmix","RNAmix_CEL-seq2"
0.706561267706865,0.104,"DPT","RNAmix","RNAmix_CEL-seq2"
0.574160328419084,0.0116731517509728,"DPT","RNAmix","RNAmix_CEL-seq2"
0.853026452005828,0.092,"DPT","RNAmix","RNAmix_CEL-seq2"
0.806790736870497,0.0272373540856031,"DPT","RNAmix","RNAmix_CEL-seq2"
0.784211967926672,0.08,"DPT","RNAmix","RNAmix_CEL-seq2"
0.731118282750372,0.0194552529182879,"DPT","RNAmix","RNAmix_CEL-seq2"
0.749689242679507,0.092,"DPT","RNAmix","RNAmix_CEL-seq2"
0.661794253500941,0.0155642023346304,"DPT","RNAmix","RNAmix_CEL-seq2"
0.630211108323744,0.084,"DPT","RNAmix","RNAmix_CEL-seq2"
0.486717570788055,0.0389105058365759,"DPT","RNAmix","RNAmix_CEL-seq2"
0.907811283026313,0.922077922077922,"DPT","RNAmix","RNAmix_Sort-seq"
0.917781033110657,0.763888888888889,"DPT","RNAmix","RNAmix_Sort-seq"
0.920841532146053,0.861471861471861,"DPT","RNAmix","RNAmix_Sort-seq"
0.90186413116007,0.824074074074074,"DPT","RNAmix","RNAmix_Sort-seq"
0.92064400528847,0.887445887445887,"DPT","RNAmix","RNAmix_Sort-seq"
0.91235308473568,0.791666666666667,"DPT","RNAmix","RNAmix_Sort-seq"
0.921971595136051,0.826839826839827,"DPT","RNAmix","RNAmix_Sort-seq"
0.919793542488991,0.782407407407407,"DPT","RNAmix","RNAmix_Sort-seq"
0.913621813418052,0.922077922077922,"DPT","RNAmix","RNAmix_Sort-seq"
0.885339998415652,0.726851851851852,"DPT","RNAmix","RNAmix_Sort-seq"
0.920706083055589,0.922077922077922,"DPT","RNAmix","RNAmix_Sort-seq"
0.909962117540722,0.796296296296296,"DPT","RNAmix","RNAmix_Sort-seq"
0.927703810556981,0.883116883116883,"DPT","RNAmix","RNAmix_Sort-seq"
0.915452511316662,0.759259259259259,"DPT","RNAmix","RNAmix_Sort-seq"
0.902850184960706,0.0476190476190476,"DPT","RNAmix","RNAmix_Sort-seq"
0.886392031037687,0.0138888888888889,"DPT","RNAmix","RNAmix_Sort-seq"
0.928056503494019,0.878787878787879,"DPT","RNAmix","RNAmix_Sort-seq"
0.92472056837137,0.722222222222222,"DPT","RNAmix","RNAmix_Sort-seq"
0.911244263936957,0.904761904761905,"DPT","RNAmix","RNAmix_Sort-seq"
0.903938584233251,0.763888888888889,"DPT","RNAmix","RNAmix_Sort-seq"
