"corr","overlap","method","design","dataset"
0.144048723906352,0.907407407407407,"SLICER","cellmix","cellmix1"
0.258329875730766,1,"SLICER","cellmix","cellmix1"
0.0638086154213316,1,"SLICER","cellmix","cellmix1"
0.481425064557138,1,"SLICER","cellmix","cellmix1"
0.242121794460476,1,"SLICER","cellmix","cellmix1"
0.210422967126618,1,"SLICER","cellmix","cellmix1"
0.0844744027271525,1,"SLICER","cellmix","cellmix1"
0.187732461904614,1,"SLICER","cellmix","cellmix2"
0.137238406872595,1,"SLICER","cellmix","cellmix2"
0.0526736957670431,1,"SLICER","cellmix","cellmix2"
0.307340043026949,1,"SLICER","cellmix","cellmix2"
0.877670502441379,0.87603305785124,"SLICER","cellmix","cellmix2"
0.114518680153196,1,"SLICER","cellmix","cellmix2"
0.279416921815204,1,"SLICER","cellmix","cellmix3"
0.0639094090765039,1,"SLICER","cellmix","cellmix3"
0.24898688942079,1,"SLICER","cellmix","cellmix3"
0.406939853268496,1,"SLICER","cellmix","cellmix3"
0.61620743146621,0.982300884955752,"SLICER","cellmix","cellmix3"
0.231819365081033,1,"SLICER","cellmix","cellmix3"
0.317382688589047,1,"SLICER","cellmix","cellmix3"
0.254044169177954,1,"SLICER","cellmix","cellmix3"
0.119724515909012,1,"SLICER","cellmix","cellmix4"
0.356467668066521,1,"SLICER","cellmix","cellmix4"
0.283415211572486,1,"SLICER","cellmix","cellmix4"
0.251898731291795,1,"SLICER","cellmix","cellmix4"
0.294016080300467,0.959677419354839,"SLICER","cellmix","cellmix4"
0.62677836642787,1,"SLICER","cellmix","cellmix4"
0.1769490000857,1,"SLICER","cellmix","cellmix4"
0.218473714427633,1,"SLICER","cellmix","cellmix4"
0.667886154838212,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.537835707764987,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.149556683686311,0.98443579766537,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.432551724274549,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.603902184094136,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.549460558566664,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.520061698458606,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.733819942769471,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.127657478320222,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.551631667217113,1,"SLICER","RNAmix","RNAmix_CEL-seq2"
0.208453540528571,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.163206432824152,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.192808039657381,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.00347914864118759,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.230855482244149,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.270733279133546,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.350423428950602,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.305723586360577,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.219668586316206,1,"SLICER","RNAmix","RNAmix_Sort-seq"
0.319257528366273,1,"SLICER","RNAmix","RNAmix_Sort-seq"
