"corr","overlap","method","design","dataset"
0.959006887542917,0.75,"monocle-DDRTree","cellmix","cellmix1"
0.889289384910129,0.942307692307692,"monocle-DDRTree","cellmix","cellmix1"
0.901568592043164,0.907407407407407,"monocle-DDRTree","cellmix","cellmix1"
0.898314814896491,0.913461538461538,"monocle-DDRTree","cellmix","cellmix1"
0.861041230823835,1,"monocle-DDRTree","cellmix","cellmix1"
0.883289512530513,0.951923076923077,"monocle-DDRTree","cellmix","cellmix1"
0.91267844850589,0.894230769230769,"monocle-DDRTree","cellmix","cellmix1"
0.895411136891516,0.842592592592593,"monocle-DDRTree","cellmix","cellmix1"
0.903946150729763,0.875,"monocle-DDRTree","cellmix","cellmix1"
0.895420942645225,0.916666666666667,"monocle-DDRTree","cellmix","cellmix1"
0.912213524344457,0.925925925925926,"monocle-DDRTree","cellmix","cellmix1"
0.906294510816657,0.942307692307692,"monocle-DDRTree","cellmix","cellmix1"
0.950329446722295,0.768518518518518,"monocle-DDRTree","cellmix","cellmix1"
0.929901152056122,0.932692307692308,"monocle-DDRTree","cellmix","cellmix1"
0.886782792525364,0.944444444444444,"monocle-DDRTree","cellmix","cellmix1"
0.909828749693488,0.875,"monocle-DDRTree","cellmix","cellmix1"
0.91601470045018,0.777777777777778,"monocle-DDRTree","cellmix","cellmix1"
0.908327991989844,0.875,"monocle-DDRTree","cellmix","cellmix1"
0.928674122234335,0.740740740740741,"monocle-DDRTree","cellmix","cellmix1"
0.901157152788985,0.884615384615385,"monocle-DDRTree","cellmix","cellmix1"
0.919807438396945,0.890909090909091,"monocle-DDRTree","cellmix","cellmix2"
0.908428272792432,0.876190476190476,"monocle-DDRTree","cellmix","cellmix2"
0.908165653380445,0.927272727272727,"monocle-DDRTree","cellmix","cellmix2"
0.889321306312219,0.942857142857143,"monocle-DDRTree","cellmix","cellmix2"
0.915060220140937,0.909090909090909,"monocle-DDRTree","cellmix","cellmix2"
0.912762447435196,0.80952380952381,"monocle-DDRTree","cellmix","cellmix2"
0.923415730790009,0.881818181818182,"monocle-DDRTree","cellmix","cellmix2"
0.920210142720711,0.838095238095238,"monocle-DDRTree","cellmix","cellmix2"
0.934282761316705,0.863636363636364,"monocle-DDRTree","cellmix","cellmix2"
0.926679500870643,0.876190476190476,"monocle-DDRTree","cellmix","cellmix2"
0.925015008525758,0.963636363636364,"monocle-DDRTree","cellmix","cellmix2"
0.896336752104834,0.971428571428571,"monocle-DDRTree","cellmix","cellmix2"
0.915855440283411,0.918181818181818,"monocle-DDRTree","cellmix","cellmix2"
0.906214701361538,0.847619047619048,"monocle-DDRTree","cellmix","cellmix2"
0.903158892504937,0.927272727272727,"monocle-DDRTree","cellmix","cellmix2"
0.910261918374283,0.819047619047619,"monocle-DDRTree","cellmix","cellmix2"
0.922566176513183,0.79047619047619,"monocle-DDRTree","cellmix","cellmix2"
0.916835945795246,0.918181818181818,"monocle-DDRTree","cellmix","cellmix2"
0.91515175024639,0.918181818181818,"monocle-DDRTree","cellmix","cellmix2"
0.909551705753895,0.914285714285714,"monocle-DDRTree","cellmix","cellmix2"
0.898878077242137,0.902654867256637,"monocle-DDRTree","cellmix","cellmix3"
0.898580404103245,0.957264957264957,"monocle-DDRTree","cellmix","cellmix3"
0.913993413141185,0.974358974358974,"monocle-DDRTree","cellmix","cellmix3"
0.907910599242886,0.902654867256637,"monocle-DDRTree","cellmix","cellmix3"
0.887534823679032,0.938053097345133,"monocle-DDRTree","cellmix","cellmix3"
0.902931514907318,0.914529914529915,"monocle-DDRTree","cellmix","cellmix3"
0.885154197857166,0.955752212389381,"monocle-DDRTree","cellmix","cellmix3"
0.90072336617856,0.905982905982906,"monocle-DDRTree","cellmix","cellmix3"
0.900239266018452,0.893805309734513,"monocle-DDRTree","cellmix","cellmix3"
0.911802056355975,0.811965811965812,"monocle-DDRTree","cellmix","cellmix3"
0.927697445394391,0.923076923076923,"monocle-DDRTree","cellmix","cellmix3"
0.897801780214456,1,"monocle-DDRTree","cellmix","cellmix3"
0.858174120985415,0.867256637168142,"monocle-DDRTree","cellmix","cellmix3"
0.904524312891807,0.811965811965812,"monocle-DDRTree","cellmix","cellmix3"
0.918195430798464,0.888888888888889,"monocle-DDRTree","cellmix","cellmix3"
0.897207968929925,0.761061946902655,"monocle-DDRTree","cellmix","cellmix3"
0.892753092354032,0.957264957264957,"monocle-DDRTree","cellmix","cellmix3"
0.893328787659204,0.920353982300885,"monocle-DDRTree","cellmix","cellmix3"
0.941053657382212,0.829059829059829,"monocle-DDRTree","cellmix","cellmix3"
0.910320347421728,0.876106194690266,"monocle-DDRTree","cellmix","cellmix3"
0.909875516829081,0.915254237288136,"monocle-DDRTree","cellmix","cellmix4"
0.913068991097773,0.938053097345133,"monocle-DDRTree","cellmix","cellmix4"
0.92717954031932,0.823008849557522,"monocle-DDRTree","cellmix","cellmix4"
0.940619090863423,0.830508474576271,"monocle-DDRTree","cellmix","cellmix4"
0.922872998480559,0.889830508474576,"monocle-DDRTree","cellmix","cellmix4"
0.904054982807824,0.964601769911504,"monocle-DDRTree","cellmix","cellmix4"
0.885453938395498,0.983050847457627,"monocle-DDRTree","cellmix","cellmix4"
0.895442471538,0.974576271186441,"monocle-DDRTree","cellmix","cellmix4"
0.919227302454927,0.949152542372881,"monocle-DDRTree","cellmix","cellmix4"
0.901991733377705,0.893805309734513,"monocle-DDRTree","cellmix","cellmix4"
0.89702509409201,0.906779661016949,"monocle-DDRTree","cellmix","cellmix4"
0.928234180895229,0.849557522123894,"monocle-DDRTree","cellmix","cellmix4"
0.91510534907895,0.884955752212389,"monocle-DDRTree","cellmix","cellmix4"
0.916866443742086,0.915254237288136,"monocle-DDRTree","cellmix","cellmix4"
0.917767605692537,0.923728813559322,"monocle-DDRTree","cellmix","cellmix4"
0.917624332217357,0.84070796460177,"monocle-DDRTree","cellmix","cellmix4"
0.91890009934133,0.864406779661017,"monocle-DDRTree","cellmix","cellmix4"
0.939575888967288,0.823008849557522,"monocle-DDRTree","cellmix","cellmix4"
0.919395695517995,0.898305084745763,"monocle-DDRTree","cellmix","cellmix4"
0.913810244817194,0.946902654867257,"monocle-DDRTree","cellmix","cellmix4"
0.964899896116511,0.83921568627451,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.953621888615989,0.852,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.96821023522737,0.992,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.980123973741549,0.996108949416342,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.97261419337683,0.892,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.980221745243101,0.925490196078431,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.95388579971911,0.964,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.96979346723872,0.735408560311284,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
0.969812992611242,0.696498054474708,"monocle-DDRTree","RNAmix","RNAmix_CEL-seq2"
